"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"11","b_target_typedry_grassland:expositionsouth",0.11592921521749,0.115007632483877,0.0546951099700902,0.0545140866216989,0.0287466049266931,0.207069448333146,1.0015203418237,1969.7701854893,1429.46868973289
"12","b_target_typedry_grassland:sand_ratio25",-0.0905838940703865,-0.0910012253440888,0.0543167434475051,0.054350804540072,-0.179385741195959,-0.00108420582607706,1.00004531847289,2361.17794446562,5250.06335096345
"13","b_target_typedry_grassland:sand_ratio50",-0.0154857793090042,-0.0157083983052194,0.0547998613968972,0.0545459709466718,-0.10415872634196,0.0746220040145288,1.00034272075846,2301.53522502633,4194.78341653286
"14","b_target_typedry_grassland:survey_year_fct2019",-0.0159788948708191,-0.0155429086488325,0.0499410307052022,0.0510737268357031,-0.0976333015302261,0.0658873971153974,1.00114287559147,2728.16509087235,5659.06698398484
"15","b_target_typedry_grassland:survey_year_fct2020",0.0267187749807011,0.0273572469039936,0.0495413331092411,0.0494529873631102,-0.0546813620485663,0.108706218204169,1.00027819532434,2658.02566640244,4836.85091509508
"16","b_target_typedry_grassland:survey_year_fct2021",0.0716825125007416,0.0714059542350672,0.0499528677072708,0.0502983763603576,-0.0101205168358311,0.153760119754447,1.00008052172884,2243.70266117036,4814.03270632118
"17","b_expositionsouth:sand_ratio25",-0.19382372680756,-0.194397795673055,0.0539505239275419,0.0543668078266286,-0.282533309634236,-0.104377454687499,1.0010121813958,2111.82878072712,2754.763165322
"18","b_expositionsouth:sand_ratio50",-0.213854310273008,-0.214720915092298,0.0545941966750893,0.0539672074896342,-0.30390900917914,-0.122060871104782,1.0009932134461,1854.10839758023,1412.25324329876
"19","b_expositionsouth:survey_year_fct2019",-0.256463867175939,-0.257097216162523,0.0982464752586577,0.0820209308331281,-0.411299563463459,-0.105267707381055,1.00166704574361,2354.88003241564,1578.56141875898
"20","b_expositionsouth:survey_year_fct2020",-0.120378895026676,-0.120508983339961,0.050573928623442,0.0506578844352653,-0.202504572147876,-0.0370441818285654,1.00066537250421,2808.96123858065,5388.6782490286
"21","b_expositionsouth:survey_year_fct2021",0.0012929755606127,0.000891512486650495,0.0493704282049846,0.0493340529273182,-0.079096252238288,0.0837545547960914,1.00120927989176,2234.44938877636,1995.61669067147
"22","b_sand_ratio25:survey_year_fct2019",-0.242536752377606,-0.242722719027867,0.0503904455667034,0.050268533220629,-0.325868938035002,-0.160097017908622,1.00063016094783,2968.44864797575,5176.27941084611
"23","b_sand_ratio50:survey_year_fct2019",-0.139019907964343,-0.13983698102795,0.0511333111183454,0.0517194607618637,-0.221644396523262,-0.0537968716890529,1.00094054902345,2475.75512165215,1621.79766463857
"24","b_sand_ratio25:survey_year_fct2020",-0.225649878883013,-0.225883196891431,0.049828151681576,0.050744324777579,-0.307637211676744,-0.14416622147297,1.00124473414396,2970.27340179617,5908.4909129862
"25","b_sand_ratio50:survey_year_fct2020",-0.137112715060902,-0.136942522489484,0.05032439360649,0.0501552952473781,-0.219272336400127,-0.05499789700577,1.00090786671284,2957.89654214357,5822.95250170064
"26","b_sand_ratio25:survey_year_fct2021",-0.189193545862713,-0.189770894926974,0.0500560917123089,0.0502519333438262,-0.270381256412592,-0.105387025092879,1.00063478094626,2792.82615329716,5931.80083083027
"27","b_sand_ratio50:survey_year_fct2021",-0.113875583018212,-0.113718414964472,0.0504922799487352,0.0503718369962223,-0.196955312173375,-0.0316270370838604,0.999908708712377,2490.3583128014,4637.9239475682
"28","b_target_typedry_grassland:expositionsouth:sand_ratio25",0.143431689862125,0.143885835870449,0.0771450720937211,0.0770153797653075,0.0157560614854327,0.269523110777595,1.00087651003848,2247.49269957115,4433.73670104668
"29","b_target_typedry_grassland:expositionsouth:sand_ratio50",0.040088509286852,0.0408701753632364,0.0789320305763061,0.0777775156128613,-0.0875941969938913,0.168469267610104,1.00283225197369,1723.54762209129,1402.87207518075
"30","b_target_typedry_grassland:expositionsouth:survey_year_fct2019",-0.0595268727230755,-0.0587074686479639,0.0709944450872343,0.0702301424764681,-0.179688347539978,0.0562914058709178,1.00258292129266,2281.08805516381,1431.14290837031
"31","b_target_typedry_grassland:expositionsouth:survey_year_fct2020",-0.0585395574206559,-0.0585553665906591,0.0716627988130133,0.0724837486457071,-0.175793486983936,0.0590037782784921,1.00041489590943,2455.9692141994,4673.35320060031
"32","b_target_typedry_grassland:expositionsouth:survey_year_fct2021",-0.174529126360762,-0.173238844263214,0.071739933893042,0.0704803883136346,-0.293383065780022,-0.0582671083708438,1.00073563898471,1715.01845445031,1371.55130209397
"33","b_target_typedry_grassland:sand_ratio25:survey_year_fct2019",0.0660608544931812,0.0662128490987959,0.070807124901921,0.0699940832453357,-0.0490215778420761,0.182492749943813,1.00048471605591,2782.1066831395,5407.73935234438
"34","b_target_typedry_grassland:sand_ratio50:survey_year_fct2019",0.078547301635295,0.0786576688311561,0.0714668170536857,0.0722076682601191,-0.0391972842013668,0.196746690913067,1.0009309634348,2733.45346848818,5481.27071794529
"35","b_target_typedry_grassland:sand_ratio25:survey_year_fct2020",0.0917528433134053,0.091294031220072,0.0702713584087719,0.0704681262634274,-0.022701821984368,0.207209906569429,1.00010665391399,2897.11672404562,5581.92058531774
"36","b_target_typedry_grassland:sand_ratio50:survey_year_fct2020",0.0294326370204013,0.029151428975371,0.0715065137644141,0.0722483991306273,-0.0865596058787206,0.146556307501381,1.00105326781137,2877.73136088713,5711.70284682252
"37","b_target_typedry_grassland:sand_ratio25:survey_year_fct2021",0.0547894890264,0.0539724837130963,0.0708755353613597,0.0701290064310955,-0.062519643520142,0.171919305591731,1.00038637096845,2672.21271674507,5062.35907330529
"38","b_target_typedry_grassland:sand_ratio50:survey_year_fct2021",0.0304552306737886,0.0307884823969904,0.0715753519967253,0.0727593200470652,-0.0848425120673681,0.148337788321987,1.00034335497498,2473.5936287576,5933.10179761774
"39","b_expositionsouth:sand_ratio25:survey_year_fct2019",0.281235106174226,0.282608767628831,0.0704472224389958,0.070482728471332,0.162326293812525,0.395181349068994,1.00122067201455,2780.97868537436,4809.18525623205
"40","b_expositionsouth:sand_ratio50:survey_year_fct2019",0.199831504590999,0.199369455502737,0.0730040499167687,0.0716229220606589,0.080153782056408,0.31719286126771,1.00188426152894,1948.36756765422,1629.96307649471
"41","b_expositionsouth:sand_ratio25:survey_year_fct2020",0.281964652096097,0.28257984204857,0.0710869746306111,0.0704694493579168,0.163673459884278,0.397813636042361,1.00072905659679,2693.60154473993,5651.58797101286
"42","b_expositionsouth:sand_ratio50:survey_year_fct2020",0.21428604022676,0.215531865486929,0.0719065138704309,0.0723720189736567,0.0952015384219164,0.333276561168191,1.00069736953768,2285.37463638094,4235.70810038724
"43","b_expositionsouth:sand_ratio25:survey_year_fct2021",0.154646147248336,0.153827676749428,0.0699970211520443,0.0704826974414953,0.0398512255938878,0.2690399340361,1.00050707526124,2566.06467253215,6148.11231166535
"44","b_expositionsouth:sand_ratio50:survey_year_fct2021",0.168800966035146,0.169638914986213,0.0707132816826959,0.0690219139831024,0.0499480644480543,0.284542016311879,1.00046334708128,2153.72373177978,1543.65281559761
"45","b_target_typedry_grassland:expositionsouth:sand_ratio25:survey_year_fct2019",-0.0458626734671575,-0.0464452637217605,0.100201045755477,0.100460796042115,-0.208421323755529,0.121181637765118,1.00101829601038,2750.40973745931,4991.18386288843
"46","b_target_typedry_grassland:expositionsouth:sand_ratio50:survey_year_fct2019",0.0202124137789181,0.0209136833406082,0.103784026242543,0.0998313159172489,-0.15128559866149,0.188930209492374,1.00205803719559,2105.78508106857,1464.57123943931
"47","b_target_typedry_grassland:expositionsouth:sand_ratio25:survey_year_fct2020",-0.103854257170045,-0.102640579335624,0.100493388926583,0.100992294137588,-0.270113389368128,0.0609520615460454,1.00014313930716,2802.39007251885,5732.6415975837
"48","b_target_typedry_grassland:expositionsouth:sand_ratio50:survey_year_fct2020",0.0348096416624258,0.0351663170567721,0.102318460308345,0.101984406372994,-0.136236793343845,0.204485020981706,1.00077055437934,2052.04974271174,1499.23432310013
"49","b_target_typedry_grassland:expositionsouth:sand_ratio25:survey_year_fct2021",-6.79485956567396e-05,-0.000432122550688978,0.100552680127268,0.101491268163807,-0.164540255905493,0.163840289659006,1.00000542303685,2614.4288681304,5259.33104801436
"50","b_target_typedry_grassland:expositionsouth:sand_ratio50:survey_year_fct2021",0.0476842256589322,0.0456411876065439,0.103191351000521,0.0989688705095689,-0.121044914236963,0.217557660144568,1.00132601246302,1833.25367001342,1502.51223008496
