name,seeded,target,sum
Centaurea_stoebe,1,1,196
Cerastium_arvense,NA,1,99
Cerastium_fontanum_ssp_vulgare,1,1,341
Cerastium_glomeratum,NA,NA,40
Chaerophyllum_bulbosum,NA,NA,3
Chenopodium_album,NA,NA,406
Chenopodium_polyspermum,NA,NA,141
Cichorium_intybus,1,1,273
Cirsium_arvense,NA,NA,36
Cirsium_oleraceum,1,1,41
Cirsium_vulgare,NA,NA,4
Clinopodium_vulgare,1,1,105
Consolida_regalis,NA,NA,5
Convolvulus_arvensis,NA,NA,931
Cornus_controversa,NA,NA,3
Cota_tinctoria,NA,NA,2
Crepis_biennis,1,1,242
Crepis_capillaris,NA,NA,1
Cynosurus_cristatus,1,1,75
Dactylis_glomerata,1,1,321
Daucus_carota,1,1,202
Dianthus_carthusianorum,1,1,204
Dipsacus_fullonum,NA,NA,1
Echinochloa_crus-galli,NA,NA,166
Echium_vulgare,1,1,409
Elymus_repens,NA,NA,601
Epilobium_obscurum,NA,NA,1
Epilobium_parviflorum,NA,NA,8
Epilobium_spec,NA,NA,1
Equisetum_arvense,NA,NA,106
Eragrostis_minor,NA,NA,1
Erigeron_annuus,NA,NA,202
Erigeron_canadensis,NA,NA,52
Erysimum_cheiranthoides,NA,NA,11
Euonymus_europaeus,NA,NA,2
Euphorbia_amygdaloides,NA,NA,1
Euphorbia_cyparissias,NA,1,1
Euphorbia_esula,NA,NA,79
Euphorbia_helioscopia,NA,NA,104
Euphorbia_verrucosa,NA,1,15
Fallopia_convolvulus,NA,NA,132
Festuca_arundinacea,NA,NA,16
Festuca_ovina,1,1,176
Festuca_pratensis,1,1,407
Festuca_rubra,1,1,393
Filipendula_ulmaria,NA,1,18
Filipendula_vulgaris,1,1,72
Fragaria_vesca,NA,NA,6
Fragaria_viridis,NA,1,21
Fumaria_officinalis,NA,NA,15
Galeopsis_tetrahit,NA,NA,24
Galium_aparine,NA,NA,4
Galium_mollugo,1,1,353
Galium_palustre,NA,NA,1
Galium_verum,1,1,181
Geranium_dissectum,NA,NA,32
Geranium_molle,NA,NA,1
Geranium_pratense,1,1,73
Geranium_pusillum,NA,NA,1
Geranium_pyrenaicum,NA,NA,80
Geum_urbanum,NA,NA,6
Glechoma_hederacea,NA,NA,101
Helianthemum_nummularium,1,1,34
Helianthus_annuus,NA,NA,11
Helianthus_tuberosus,NA,NA,1
Helictotrichon_pubescens,1,1,138
Hippocrepis_comosa,1,1,72
Holcus_lanatus,1,1,203
Hordeum_vulgare,NA,NA,10
Hypericum_perforatum,1,1,50
Hypochaeris_radicata,1,1,228
Inula_salicina,1,1,37
Iris_pseudacorus,NA,NA,1
Iris_spec,NA,NA,6
Jacobaea_vulgaris,NA,NA,8
Knautia_arvensis,1,1,343
Koeleria_pyramidata,1,1,121
Lactuca_serriola,NA,NA,31
Lamium_maculatum,NA,NA,3
Lamium_purpureum,NA,NA,5
Lapsana_communis,NA,NA,4
Lathyrus_pratensis,1,1,242
Lathyrus_sylvestris,NA,NA,1
Lathyrus_tuberosus,NA,NA,7
Leontodon_hispidus,1,1,92
Lepidium_campestre,NA,NA,15
Leucanthemum_vulgare,1,1,338
Linum_spec,NA,NA,1
Lolium_perenne,NA,NA,55
Lotus_corniculatus,1,1,421
Lysimachia_nummularia,NA,1,88
Lysimachia_vulgaris,NA,NA,27
Lythrum_salicaria,NA,NA,1
Malva_spec,NA,NA,1
Medicago_falcata,1,1,326
Medicago_lupulina,1,1,426
Medicago_minima,NA,NA,13
Medicago_sativa,NA,NA,213
Melilotus_albus,NA,NA,1
Myosotis_arvensis,NA,NA,63
Nardus_stricta,NA,NA,5
Oenothera_biennis,NA,NA,19
Onobrychis_viciifolia,1,1,195
Ononis_spinosa,NA,NA,2
Origanum_vulgare,1,1,195
Papaver_dubium,NA,NA,2
Papaver_rhoeas,NA,NA,225
Pastinaca_sativa,1,1,119
Persicaria_amphibia,NA,NA,125
Persicaria_bistorta,NA,NA,3
Persicaria_lapathifolia,NA,NA,1
Persicaria_minor,NA,NA,1
Persicaria_mitis,NA,NA,1
Peucedanum_cervaria,NA,NA,1
Peucedanum_oreoselinum,1,1,34
Phleum_phleoides,NA,1,63
Phleum_pratense,1,1,209
Pimpinella_major,1,1,47
Pimpinella_saxifraga,1,1,51
Plantago_lanceolata,1,1,401
Plantago_major,NA,NA,6
Plantago_major_ssp_intermedia,NA,NA,7
Plantago_media,1,1,85
Poa_angustifolia,1,1,166
Poa_compressa,1,1,86
Poa_pratensis,1,1,195
Poa_trivialis,NA,NA,69
Poaceae,NA,NA,5
Polygonum_aviculare,NA,NA,122
Populus_alba,NA,NA,3
Potentilla_anserina,NA,NA,389
Potentilla_erecta,NA,1,6
Potentilla_recta,1,1,76
Potentilla_reptans,NA,NA,230
Prunella_grandiflora,1,1,43
Prunella_vulgaris,1,1,253
Prunus_avium,NA,NA,13
Prunus_padus,NA,NA,2
Quercus_robur,NA,NA,2
Ranunculus_acris,1,1,96
Ranunculus_bulbosus,1,1,132
Ranunculus_polyanthemos,NA,1,3
Ranunculus_repens,NA,NA,180
Reseda_lutea,NA,NA,130
Rhinanthus_alectorolophus,1,1,532
Rhinanthus_minor,1,1,227
Rorippa_sylvestris,NA,NA,387
Rubus_caesius,NA,NA,356
Rumex_acetosa,1,1,273
Rumex_obtusifolius,NA,NA,81
Salix_purpurea,NA,NA,7
Salix_spec,NA,NA,2
Salvia_pratensis,1,1,338
Sanguisorba_minor,1,1,712
Sanguisorba_officinalis,1,1,154
