plot,name,seeded
L1_22,Arabis hirsuta,3.3
L1_22,Brachypodium pinnatum,8.6
L1_22,Briza media,8.6
L1_22,Bromus erectus,8.6
L1_22,Buphthalmum salicifolium,3.3
L1_22,Campanula rotundifolia,3.3
L1_22,Carex flacca,8.6
L1_22,Carlina vulgaris,3.3
L1_22,Dianthus carthusianorum,3.3
L1_22,Festuca ovina,8.6
L1_22,Galium verum,3.3
L1_22,Inula salicina,3.3
L1_22,Lotus corniculatus,1.7
L1_22,Medicago falcata,1.7
L1_22,Medicago lupulina,1.7
L1_22,Phleum pratense,8.6
L1_22,Rhinanthus minor,5
L1_22,Sanguisorba minor,3.3
L1_23,Achillea millefolium,3.3
L1_23,Anthoxanthum odoratum,8.6
L1_23,Arrhenatherum elatius,8.6
L1_23,Campanula patula,3.3
L1_23,Cichorium intybus,3.3
L1_23,Dactylis glomerata,8.6
L1_23,Daucus carota,3.3
L1_23,Festuca rubra,8.6
L1_23,Holcus lanatus,8.6
L1_23,Lathyrus pratensis,1.7
L1_23,Lotus corniculatus,1.7
L1_23,Medicago lupulina,1.7
L1_23,Origanum vulgare,3.3
L1_23,Phleum pratense,8.6
L1_23,Poa compressa,8.6
L1_23,Prunella vulgaris,3.3
L1_23,Ranunculus acris,3.3
L1_23,Ranunculus bulbosus,3.3
L1_23,Rhinanthus minor,5
L1_23,Verbascum lychnitis,3.3
L1_24,Achillea millefolium,3.3
L1_24,Agrostis capillaris,8.6
L1_24,Anthyllis vulneraria,1.7
L1_24,Briza media,8.6
L1_24,Bromus erectus,8.6
L1_24,Echium vulgare,3.3
L1_24,Festuca pratensis,8.6
L1_24,Filipendula vulgaris,3.3
L1_24,Helictotrichon pubescens,8.6
L1_24,Hypericum perforatum,3.3
L1_24,Knautia arvensis,3.3
L1_24,Koeleria pyramidata,8.6
L1_24,Medicago lupulina,1.7
L1_24,Onobrychis viciifolia,1.7
L1_24,Pimpinella saxifraga,3.3
L1_24,Plantago media,6.6
L1_24,Poa angustifolia,8.6
L1_24,Ranunculus bulbosus,3.3
L1_24,Rhinanthus alectorolophus,5
L1_24,Salvia pratensis,3.3
L2_01,Agrostis capillaris,8.6
L2_01,Alopecurus pratensis,8.6
L2_01,Anthoxanthum odoratum,8.6
L2_01,Arrhenatherum elatius,8.6
L2_01,Campanula glomerata,3.3
L2_01,Cichorium intybus,3.3
L2_01,Crepis biennis,3.3
L2_01,Festuca pratensis,8.6
L2_01,Festuca rubra,8.6
L2_01,Knautia arvensis,3.3
L2_01,Lathyrus pratensis,1.7
L2_01,Lotus corniculatus,1.7
L2_01,Medicago lupulina,1.7
L2_01,Origanum vulgare,3.3
L2_01,Poa pratensis,8.6
L2_01,Ranunculus acris,3.3
L2_01,Ranunculus bulbosus,3.3
L2_01,Rhinanthus alectorolophus,5
L2_01,Sanguisorba officinalis,3.3
L2_01,Silene latifolia ssp alba,3.3
L2_02,Anthoxanthum odoratum,8.6
L2_02,Anthyllis vulneraria,1.7
L2_02,Arabis hirsuta,3.3
L2_02,Brachypodium pinnatum,8.6
L2_02,Bromus erectus,8.6
L2_02,Campanula rotundifolia,3.3
L2_02,Centaurea stoebe,3.3
L2_02,Festuca pratensis,8.6
L2_02,Festuca rubra,8.6
L2_02,Filipendula vulgaris,3.3
L2_02,Hippocrepis comosa,1.7
L2_02,Knautia arvensis,3.3
L2_02,Koeleria pyramidata,8.6
L2_02,Leontodon hispidus,3.3
L2_02,Peucedanum oreoselinum,3.3
L2_02,Poa angustifolia,8.6
L2_02,Potentilla recta,3.3
L2_02,Rhinanthus minor,5
L2_02,Thymus praecox,3.3
L2_02,Trifolium montanum,1.7
L2_03,Agrostis capillaris,8.6
L2_03,Anthoxanthum odoratum,8.6
L2_03,Arrhenatherum elatius,8.6
L2_03,Cerastium fontanum ssp vulgare,3.3
L2_03,Crepis biennis,3.3
L2_03,Cynosurus cristatus,8.6
L2_03,Daucus carota,3.3
L2_03,Festuca pratensis,8.6
L2_03,Festuca rubra,8.6
L2_03,Hypochaeris radicata,3.3
L2_03,Lathyrus pratensis,1.7
L2_03,Medicago lupulina,1.7
L2_03,Pimpinella major,3.3
L2_03,Prunella vulgaris,3.3
L2_03,Rhinanthus minor,5
L2_03,Salvia pratensis,3.3
L2_03,Silaum silaus,3.3
L2_03,Silene latifolia ssp alba,3.3
L2_03,Trisetum flavescens,8.6
L2_03,Vicia cracca,1.7
L2_04,Achillea millefolium,3.3
L2_04,Agrimonia eupatoria,3.3
L2_04,Anthoxanthum odoratum,8.6
L2_04,Anthyllis vulneraria,1.7
L2_04,Brachypodium pinnatum,8.6
L2_04,Bromus erectus,8.6
L2_04,Carex flacca,8.6
L2_04,Centaurea scabiosa,3.3
L2_04,Helictotrichon pubescens,8.6
L2_04,Hippocrepis comosa,1.7
L2_04,Hypericum perforatum,3.3
L2_04,Inula salicina,3.3
L2_04,Koeleria pyramidata,8.6
L2_04,Leucanthemum vulgare,3.3
L2_04,Medicago falcata,1.7
L2_04,Poa angustifolia,8.6
L2_04,Prunella grandiflora,3.3
L2_04,Ranunculus bulbosus,3.3
L2_04,Rhinanthus alectorolophus,5
L2_04,Salvia pratensis,3.3
L2_05,Achillea millefolium,3.3
L2_05,Agrostis capillaris,8.6
L2_05,Alopecurus pratensis,8.6
L2_05,Anthoxanthum odoratum,8.6
L2_05,Arrhenatherum elatius,8.6
L2_05,Campanula rapunculoides,3.3
L2_05,Cirsium oleraceum,3.3
L2_05,Daucus carota,3.3
L2_05,Festuca pratensis,8.6
L2_05,Holcus lanatus,8.6
L2_05,Lotus corniculatus,1.7
L2_05,Medicago lupulina,1.7
L2_05,Pastinaca sativa,3.3
L2_05,Poa compressa,8.6
L2_05,Prunella vulgaris,3.3
L2_05,Ranunculus bulbosus,3.3
L2_05,Rhinanthus alectorolophus,5
L2_05,Salvia pratensis,3.3
L2_05,Verbascum lychnitis,3.3
L2_05,Vicia cracca,1.7
L2_06,Agrimonia eupatoria,3.3
L2_06,Anthoxanthum odoratum,8.6
L2_06,Anthyllis vulneraria,1.7
L2_06,Arabis hirsuta,3.3
L2_06,Brachypodium pinnatum,8.6
L2_06,Bromus erectus,8.6
L2_06,Clinopodium vulgare,3.3
L2_06,Festuca rubra,8.6
L2_06,Filipendula vulgaris,3.3
L2_06,Hippocrepis comosa,1.7
L2_06,Inula salicina,3.3
L2_06,Koeleria pyramidata,8.6
L2_06,Medicago falcata,1.7
L2_06,Peucedanum oreoselinum,3.3
L2_06,Phleum pratense,8.6
L2_06,Poa angustifolia,8.6
L2_06,Rhinanthus minor,5
L2_06,Salvia pratensis,3.3
L2_06,Sanguisorba minor,3.3
L2_06,Silene vulgaris,3.3
L2_07,Agrostis capillaris,8.6
L2_07,Anthericum ramosum,3.3
L2_07,Anthyllis vulneraria,1.7
L2_07,Briza media,8.6
L2_07,Bromus erectus,8.6
L2_07,Carex flacca,8.6
L2_07,Centaurea scabiosa,3.3
L2_07,Echium vulgare,3.3
L2_07,Festuca ovina,8.6
L2_07,Festuca pratensis,8.6
L2_07,Hippocrepis comosa,1.7
L2_07,Leontodon hispidus,3.3
L2_07,Leucanthemum vulgare,3.3
L2_07,Lotus corniculatus,1.7
L2_07,Phleum pratense,8.6
L2_07,Potentilla recta,3.3
L2_07,Ranunculus bulbosus,3.3
L2_07,Rhinanthus minor,5
L2_07,Scabiosa columbaria,3.3
L2_07,Sedum acre,3.3
L2_08,Agrostis capillaris,8.6
L2_08,Anthoxanthum odoratum,8.6
L2_08,Arrhenatherum elatius,8.6
L2_08,Campanula glomerata,3.3
L2_08,Cerastium fontanum ssp vulgare,3.3
L2_08,Crepis biennis,3.3
L2_08,Dactylis glomerata,8.6
L2_08,Daucus carota,3.3
L2_08,Festuca pratensis,8.6
L2_08,Festuca rubra,8.6
L2_08,Galium mollugo,3.3
L2_08,Medicago lupulina,1.7
L2_08,Plantago lanceolata,3.3
L2_08,Poa compressa,8.6
L2_08,Ranunculus acris,3.3
L2_08,Rhinanthus minor,5
L2_08,Silaum silaus,3.3
L2_08,Silene flos-cuculi,3.3
L2_08,Trifolium pratense,1.7
L2_08,Vicia cracca,1.7
L2_09,Achillea millefolium,3.3
L2_09,Anthericum ramosum,3.3
L2_09,Anthoxanthum odoratum,8.6
L2_09,Anthyllis vulneraria,1.7
L2_09,Briza media,8.6
L2_09,Bromus erectus,8.6
L2_09,Campanula glomerata,3.3
L2_09,Carlina vulgaris,3.3
L2_09,Clinopodium vulgare,3.3
L2_09,Dianthus carthusianorum,3.3
L2_09,Festuca rubra,8.6
L2_09,Helianthemum nummularium,3.3
L2_09,Helictotrichon pubescens,8.6
L2_09,Medicago falcata,1.7
L2_09,Medicago lupulina,1.7
L2_09,Phleum pratense,8.6
L2_09,Pimpinella saxifraga,3.3
L2_09,Poa angustifolia,8.6
L2_09,Rhinanthus minor,5
L2_09,Scabiosa columbaria,3.3
L2_10,Agrostis capillaris,8.6
L2_10,Anthoxanthum odoratum,8.6
L2_10,Briza media,8.6
L2_10,Bromus erectus,8.6
L2_10,Buphthalmum salicifolium,3.3
L2_10,Campanula rotundifolia,3.3
L2_10,Carlina vulgaris,3.3
L2_10,Dianthus carthusianorum,3.3
L2_10,Festuca ovina,8.6
L2_10,Festuca pratensis,8.6
L2_10,Helictotrichon pubescens,8.6
L2_10,Hypochaeris radicata,3.3
L2_10,Knautia arvensis,3.3
L2_10,Leontodon hispidus,3.3
L2_10,Lotus corniculatus,1.7
L2_10,Medicago lupulina,1.7
L2_10,Plantago media,6.6
L2_10,Ranunculus bulbosus,3.3
L2_10,Rhinanthus alectorolophus,5
L2_10,Trifolium montanum,1.7
L2_11,Anthoxanthum odoratum,8.6
L2_11,Arrhenatherum elatius,8.6
L2_11,Briza media,8.6
L2_11,Campanula glomerata,3.3
L2_11,Campanula patula,3.3
L2_11,Centaurea jacea,3.3
L2_11,Cichorium intybus,3.3
L2_11,Cynosurus cristatus,8.6
L2_11,Dactylis glomerata,8.6
L2_11,Festuca rubra,8.6
L2_11,Knautia arvensis,3.3
L2_11,Lotus corniculatus,1.7
L2_11,Medicago lupulina,1.7
L2_11,Origanum vulgare,3.3
L2_11,Pastinaca sativa,3.3
L2_11,Phleum pratense,8.6
L2_11,Plantago lanceolata,3.3
L2_11,Rhinanthus alectorolophus,5
L2_11,Trifolium pratense,1.7
L2_11,Veronica chamaedrys,3.3
L2_12,Achillea millefolium,3.3
L2_12,Anthoxanthum odoratum,8.6
L2_12,Arrhenatherum elatius,8.6
L2_12,Campanula patula,3.3
L2_12,Centaurea jacea,3.3
L2_12,Centaurea scabiosa,3.3
L2_12,Festuca rubra,8.6
L2_12,Galium mollugo,3.3
L2_12,Holcus lanatus,8.6
L2_12,Lathyrus pratensis,1.7
L2_12,Leucanthemum vulgare,3.3
L2_12,Phleum pratense,8.6
L2_12,Poa compressa,8.6
L2_12,Rhinanthus alectorolophus,5
L2_12,Rumex acetosa,3.3
L2_12,Sanguisorba officinalis,3.3
L2_12,Tragopogon pratensis,3.3
L2_12,Trifolium pratense,1.7
L2_12,Trisetum flavescens,8.6
L2_12,Vicia cracca,1.7
L2_13,Agrostis capillaris,8.6
L2_13,Alopecurus pratensis,8.6
L2_13,Arrhenatherum elatius,8.6
L2_13,Briza media,8.6
L2_13,Campanula glomerata,3.3
L2_13,Centaurea jacea,3.3
L2_13,Cichorium intybus,3.3
L2_13,Cirsium oleraceum,3.3
L2_13,Holcus lanatus,8.6
L2_13,Hypochaeris radicata,3.3
L2_13,Lathyrus pratensis,1.7
L2_13,Lotus corniculatus,1.7
L2_13,Phleum pratense,8.6
L2_13,Plantago lanceolata,3.3
L2_13,Poa pratensis,8.6
L2_13,Ranunculus bulbosus,3.3
L2_13,Rhinanthus alectorolophus,5
L2_13,Sanguisorba officinalis,3.3
L2_13,Tragopogon pratensis,3.3
L2_13,Vicia cracca,1.7
L2_14,Achillea millefolium,3.3
L2_14,Agrostis capillaris,8.6
L2_14,Anthoxanthum odoratum,8.6
L2_14,Bromus erectus,8.6
L2_14,Buphthalmum salicifolium,3.3
