Species_name	woody	annual	perennialnonclonal	monocarpic	polycarpic	clonal	branching	cyclicity	Primaryroot	BB0	BB0_mn10	BB_gtmn10	BB0R	BB0_mn10R	BB_gtmn10R	BBsize	BBdepth	BBRsize	BBRdepth	finalCGO	persistence	offspring	offspring_wsmall	spread	clonalindex	dispersibility	Rsprouter	PositionRB	RoleRB
"""Alchemilla xanthochlora Rothm."""	0	0	0	0	0	1	monop	1	0	5	15	0	5	15	0	20	4	20	4	9	4	0.5	0.5	13	3	0	0		
"""Aldrovanda vesiculosa L."""	0	0	0	0	0	1	monop	1	0	3.3	0	0	3.3	0	0	3.3	1	3.3	1	2	1	4.8	4.8		7	1	0		
"""Alisma gramineum Lej."""	0	0	0	0	0	1	symp	1	0	2.5	10	0	2.5	10	0	12.5	4.2	12.5	4.2	9	1.5	1	1	0.5	3	0	0		
"""Alisma lanceolatum With."""	0	0	0	0	0	1	symp	1	0	5	11.7	0	5	11.7	0	16.7	3.8	16.7	3.8	9	2	2.3	2.3	0.5	3	0	0		
"""Alisma plantago-aquatica L."""	0	0	0	0	0	1	symp	1	0	2.5	7.9	0	2.5	7.9	0	10.4	4	10.4	4	9	1.7	2.1	2.1	0.5	3	0	0		
"""Alliaria petiolata (M. Bieb.) Cavara et Grande"""	0	0	1	1	0	0		2	1	5	7.7	0	5	15.2	15	12.7	3.4	35.2	8.7								1	2	F
"""Allium ampeloprasum L."""	0	0	0	0	0	1	symp	2	0	0	5	0	0	5	0	5	5	5	5	13	1	1	7.3	0.5	7	1	0		
"""Allium angulosum L."""	0	0	0	0	0	1	symp	2	0	0	5	0	0	5	0	5	5	5	5	13	3	1	1	0.5	3	0	0		
"""Allium carinatum L."""	0	0	0	0	0	1	symp	1	0	0	5	0	0	5	0	5	5	5	5	13	1.5	1	5.8	8.8	4	1	0		
"""Allium cepa L."""	0	0	0	0	0	1	symp	1	0	0	5	0	0	5	0	5	5	5	5	13	1	2.3	2.3	0.5	3	1	0		
"""Allium chamaemoly L."""	0	0	0	0	0	1			0	0	5	0	0	5	0	5	5	5	5	13				0.5		0	0		
"""Allium ericetorum agg."""	0	0	0	0	0	1	symp	2	0	0	5	0	0	5	0	5	5	5	5	13	2	1	1	0.5	3	0	0		
"""Allium fistulosum L."""	0	0	0	0	0	1	symp	1	0	0	5	0	0	5	0	5	5	5	5	13	2.5	3.5	3.5	0.5	4	0	0		
"""Allium flavum L."""	0	0	0	0	0	1	symp	1	0	0	5	0	0	5	0	5	5	5	5	13	1	1	1	0.5	3	0	0		
"""Allium moly L."""	0	0	0	0	0	1	symp	1	0	0	5	0	0	5	0	5	5	5	5	13	1	6	6	0.5	4	0	0		
"""Allium moschatum L."""	0	0	0	0	0	1	symp	2	0	0	5	0	0	5	0	5	5	5	5	13	1	6	6	0.5	4	0	0		
"""Allium neapolitanum Cirillo"""	0	0	0	0	0	1	symp	1	0	0	5	0	0	5	0	5	5	5	5	13	1	1	1	0.5	3	0	0		
"""Allium nigrum L."""	0	0	0	0	0	1	symp	1	0	0	5	0	0	5	0	5	5	5	5	13	1	1	3.5	0.5	3	0	0		
"""Allium nutans L."""	0	0	0	0	0	1	symp	2	0	0	5	0	0	5	0	5	5	5	5	13	4	1	1	0.5	3	0	0		
"""Allium oleraceum L."""	0	0	0	0	0	1	symp	1	0	0	5	0	0	5	0	5	5	5	5	13	1.3	1	2.3	1.9	3	1	0		
"""Allium paniculatum L."""	0	0	0	0	0	1	symp	1	0	0	5	0	0	5	0	5	5	5	5	13	1	1	1	0.5	3	0	0		
"""Allium paradoxum (M. Bieb.) G. Don"""	0	0	0	0	0	1	symp	1	0	0	5	0	0	5	0	5	5	5	5	13	1	1	3.5	0.5	3	1	0		
"""Allium porrum L."""	0	0	0	0	0	1	symp	2	0	0	5	0	0	5	0	5	5	5	5	13	1	1	1	0.5	3	0	0		
"""Allium roseum L."""	0	0	0	0	0	1	symp	1	0	0	5	0	0	5	0	5	5	5	5	13	1	1	4.3	0.5	7	1	0		
"""Allium rotundum L."""	0	0	0	0	0	1	symp	1	0	0	5	0	0	5	0	5	5	5	5	13	1.3	1	3.5	4.7	3	0	0		
"""Allium sativum L."""	0	0	0	0	0	1	symp	1	0	0	5	0	0	5	0	5	5	5	5	13	1.2	3.5	5.4	0.5	4	1	0		
"""Allium schoenoprasum L."""	0	0	0	0	0	1	symp	2	0	0	5	0	0	5	0	5	5	5	5	13	4	2.5	2.5	0.5	4	0	0		
"""Allium scorodoprasum L."""	0	0	0	0	0	1	symp	1	0	0	6.7	0	0	6.7	0	6.7	5	6.7	5	13	1.1	0.9	5.5	0.5	3	1	0		
"""Allium senescens L."""	0	0	0	0	0	1	symp	2	0	0	5	0	0	5	0	5	5	5	5	13	4	1	1	0.5	3	0	0		
"""Allium sphaerocephalon L."""	0	0	0	0	0	1	symp	1	0	0	5	0	0	5	0	5	5	5	5	13	1	1	3.5	3.6	3	0	0		
"""Allium strictum Schrad."""	0	0	0	0	0	1	symp	2	0	0	5	0	0	5	0	5	5	5	5	13	4	1	1	0.5	3	0	0		
"""Allium suaveolens Jacq."""	0	0	0	0	0	1	symp	2	0	0	5	0	0	5	0	5	5	5	5	13	3	1	1	0.5	3	0	0		
"""Allium subhirsutum L."""	0	0	0	0	0	1	symp	1	0	0	5	0	0	5	0	5	5	5	5	13	1	1	1	0.5	3	0	0		
"""Allium triquetrum L."""	0	0	0	0	0	1	symp	2	0	0	5	0	0	5	0	5	5	5	5	13	1	6	6	0.5	4	0	0		
"""Allium ursinum L."""	0	0	0	0	0	1	symp	2	0	0	5	0	0	5	0	5	5	5	5	13	2.6	1.6	1.6	0.5	3	0	0		
"""Allium ursinum subsp. ucrainicum Kleopow et Oxner"""	0	0	0	0	0	1	symp	2	0	0	5	0	0	5	0	5	5	5	5	13	4	6	6	0.5	4	0	0		
"""Allium victorialis L."""	0	0	0	0	0	1	symp	2	0	0	5	0	0	5	0	5	5	5	5	13	3	1	1	0.5	3	0	0		
"""Allium vineale L."""	0	0	0	0	0	1	symp	1	0	0	6.1	0	0	6.1	0	6.1	5	6.1	5	13	1.1	1	5.1	0.5	3	1	0		
"""Alnus glutinosa (L.) Gaertn."""	1	0	0	0	0	0				0	0	0	0	15	15	0		30	10								1	3	R
"""Alnus incana (L.) Moench"""	1	0	0	0	0	0				0	7.5	0	0	19.5	15	7.5	5	34.5	9.3	15							1	2	F
"""Alopecurus aequalis Sobol."""	0	1	0	0	0	0		1	0	7	2	0	7	2	0	9	1.9	9	1.9								0		
"""Alopecurus arundinaceus Poir."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	4	1	1	6.8	4	0	0		
"""Alopecurus bulbosus Gouan"""	0	0	0	0	0	1			0	5	15	0	5	15	0	20	4	20	4	10	4	1	1	0.5	3	0	0		
"""Alopecurus geniculatus L."""	0	0	0	0	0	1	symp	1	0	10	1.3	0	10	1.3	0	11.3	1.4	11.3	1.4	1	2	5.8	5.8	22.3	6	0	0		
"""Alopecurus myosuroides Huds."""	0	1	0	0	0	0		1	0	5	2.5	0	5	2.5	0	7.5	2.3	7.5	2.3								0		
"""Alopecurus pratensis L."""	0	0	0	0	0	1	symp	2	0	7.5	15	0	7.5	15	0	22.5	3.7	22.5	3.7	9	4	2.8	2.8	5.2	3	0	0		
