name,nomenclature,synonym,family,group,legal,rlg,rlb,neophyte,l,t,k,f,fchange,r,n,biotopeTarget,ffh6510,ffh6210,specialTarget,seedAvailability,seeded
Cerastium_arvense,http://www.worldfloraonline.org/taxon/wfo-0000595158,NA,Caryophyllaceae,herb,no,no,no,no,8,NA,5,4,no,6,4,no,no,no,NA,NA,no
Cerastium_fontanum_ssp_vulgare,http://www.worldfloraonline.org/taxon/wfo-0000595577,Cerastium_holosteoides,Caryophyllaceae,herb,no,no,no,no,6,NA,NA,5,no,NA,5,yes,yes,no,NA,yes,yes
Cerastium_glomeratum,http://www.worldfloraonline.org/taxon/wfo-0000595603,NA,Caryophyllaceae,herb,no,no,no,no,7,5,3,5,no,5,5,no,no,no,NA,NA,no
Chaerophyllum_bulbosum,http://www.worldfloraonline.org/taxon/wfo-0000598957,NA,Apiaceae,herb,no,no,no,no,7,6,5,7,no,8,8,no,no,no,NA,NA,no
Chenopodium_album,http://www.worldfloraonline.org/taxon/wfo-0000600897,NA,Amaranthaceae,herb,no,no,no,no,NA,NA,NA,4,no,NA,7,no,no,no,NA,NA,no
Chenopodium_polyspermum,http://www.worldfloraonline.org/taxon/wfo-0000601652,NA,Amaranthaceae,herb,no,no,no,no,NA,NA,NA,4,no,NA,7,no,no,no,NA,NA,no
Cichorium_intybus,http://www.worldfloraonline.org/taxon/wfo-0000080671,NA,Asteraceae,herb,no,no,no,no,9,6,5,4,no,8,5,no,no,no,yes,yes,yes
Cirsium_arvense,http://www.worldfloraonline.org/taxon/wfo-0000006870,NA,Asteraceae,herb,no,no,no,no,8,5,NA,NA,no,NA,7,no,no,no,NA,NA,no
Cirsium_oleraceum,http://www.worldfloraonline.org/taxon/wfo-0000063143,NA,Asteraceae,herb,no,no,no,no,6,NA,3,7,no,8,5,yes,no,no,NA,yes,yes
Cirsium_palustre,http://www.worldfloraonline.org/taxon/wfo-0000043760,NA,Asteraceae,herb,no,no,no,no,7,5,3,8,NA,4,3,no,no,no,NA,NA,no
Cirsium_vulgare,http://www.worldfloraonline.org/taxon/wfo-0000081703,NA,Asteraceae,herb,no,no,no,no,8,5,3,5,no,7,8,no,no,no,NA,NA,no
Clinopodium_vulgare,http://www.worldfloraonline.org/taxon/wfo-0000893535,NA,Lamiaceae,herb,no,no,no,no,7,NA,3,4,no,7,3,yes,no,no,NA,yes,yes
Colchicum_autumnale,http://www.worldfloraonline.org/taxon/wfo-0000763824,NA,Colchicaceae,herb,no,no,no,no,6,5,2,6,chwet,7,NA,yes,no,no,NA,NA,no
Consolida_regalis,http://www.worldfloraonline.org/taxon/wfo-0000619574,NA,Ranunculaceae,herb,no,3,3,no,6,7,6,5,no,8,5,no,no,no,NA,NA,no
Convolvulus_arvensis,http://www.worldfloraonline.org/taxon/wfo-0001296633,NA,Convolvulaceae,herb,no,no,no,no,7,6,NA,4,no,7,NA,no,no,no,NA,NA,no
Cornus_controversa,http://www.worldfloraonline.org/taxon/wfo-0000924640,Cornus_sanguinea,Cornaceae,shrub,no,no,no,no,7,5,4,5,no,7,NA,no,no,no,NA,NA,no
Cota_tinctoria,http://www.worldfloraonline.org/taxon/wfo-0000076814,Anthemis_tinctoria,Asteraceae,herb,no,no,no,no,8,6,5,3,no,6,4,no,no,no,NA,NA,no
Crataegus_monogyna,http://www.worldfloraonline.org/taxon/wfo-0001009785,NA,Rosaceae,shrub,no,no,no,no,7,5,3,4,NA,8,4,no,no,no,NA,NA,no
Crepis_biennis,http://www.worldfloraonline.org/taxon/wfo-0000061510,NA,Asteraceae,herb,no,no,no,no,7,5,3,5,no,6,5,yes,yes,no,NA,yes,yes
Crepis_capillaris,http://www.worldfloraonline.org/taxon/wfo-0000030643,NA,Asteraceae,herb,no,no,no,no,7,6,2,5,no,6,4,no,no,no,NA,NA,no
Cyanus_segetum,http://www.worldfloraonline.org/taxon/wfo-0000071996,Centaurea_cyanus,Asteraceae,herb,no,V,no,no,7,6,5,NA,no,NA,NA,no,no,no,NA,NA,no
Cynodon_dactylon,http://www.worldfloraonline.org/taxon/wfo-0000861178,NA,Poaceae,sub-grass,no,no,no,yes,8,7,3,4,no,NA,5,no,no,no,NA,NA,no
Cynosurus_cristatus,http://www.worldfloraonline.org/taxon/wfo-0000861316,NA,Poaceae,sub-grass,no,no,no,no,8,5,3,5,no,NA,4,yes,yes,no,NA,yes,yes
Dactylis_glomerata,http://www.worldfloraonline.org/taxon/wfo-0000861498,NA,Poaceae,top-grass,no,no,no,no,7,NA,3,5,no,NA,6,yes,no,no,NA,yes,yes
Daucus_carota,http://www.worldfloraonline.org/taxon/wfo-0000638442,NA,Apiaceae,herb,no,no,no,no,8,6,5,4,no,NA,4,yes,yes,no,NA,yes,yes
Deschampsia_cespitosa,http://www.worldfloraonline.org/taxon/wfo-0000862467,NA,Poaceae,top-grass,no,no,no,no,6,NA,NA,7,chwet,NA,3,yes,no,no,NA,NA,no
Dianthus_carthusianorum,http://www.worldfloraonline.org/taxon/wfo-0000643249,NA,Caryophyllaceae,herb,BG,V,no,no,8,5,4,3,no,7,2,yes,no,yes,NA,yes,yes
Dianthus_deltoides,http://www.worldfloraonline.org/taxon/wfo-0000643427,NA,Caryophyllaceae,herb,BG,V,no,no,8,5,4,3,no,3,2,yes,no,no,NA,NA,no
Dipsacus_fullonum,http://www.worldfloraonline.org/taxon/wfo-0000651022,NA,Caprifoliaceae,herb,no,no,no,no,9,6,3,6,chwet,8,7,no,no,no,NA,NA,no
Echinochloa_crus-galli,http://www.worldfloraonline.org/taxon/wfo-0000865236,NA,Poaceae,grass,no,no,no,no,6,7,5,5,no,NA,8,no,no,no,NA,NA,no
Echium_vulgare,http://www.worldfloraonline.org/taxon/wfo-0000663145,NA,Boraginaceae,herb,no,no,no,no,9,6,3,4,no,8,4,no,no,no,yes,yes,yes
Elymus_repens,http://www.worldfloraonline.org/taxon/wfo-0000866643,NA,Poaceae,top-grass,no,no,no,no,7,6,7,NA,chwet,NA,7,no,no,no,NA,NA,no
Epilobium_obscurum,http://www.worldfloraonline.org/taxon/wfo-0000669496,NA,Onagraceae,herb,no,V,G,no,7,5,2,8,NA,4,4,no,no,no,NA,NA,no
Epilobium_parviflorum,http://www.worldfloraonline.org/taxon/wfo-0000669577,NA,Onagraceae,herb,no,no,no,no,7,5,3,9,flood,8,6,no,no,no,NA,NA,no
Epilobium_spec,http://www.worldfloraonline.org/taxon/wfo-4000013609,NA,Onagraceae,herb,no,no,no,no,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,no
