Species	TapRootPersist	ReproMulti	StorageOrganPresence	AgeFirstFlowering	GenetLifeSpan	BudBank_no_>10cm	BudBank_no_>0_to_10cm	BudBank_no_0cm	BudBank_no_0_to_-10cm	BudBank_no_<-10cm	BudBank_season_>10cm	BudBank_season_0_to_10cm	BudBank_season_0cm	BudBank_season_0_to_-10cm	BudBank_season_<-10cm	CGO_Type_1	CGO_Type_2	CGO_Type_3	CGO_Type_4	CGO_Role_1	CGO_Role_2	CGO_Role_3	CGO_Role_4	ShootCycl_1	ShootCycl_2	ShootCycl_3	ShootCycl_4	ConnectionPersist_1	ConnectionPersist_2	ConnectionPersist_3	ConnectionPersist_4	OffspringPerParent_1	OffspringPerParent_2	OffspringPerParent_3	OffspringPerParent_4	LateralSpread_1	LateralSpread_2	LateralSpread_3	LateralSpread_4	BranchingType_1	BranchingType_2	BranchingType_3	BranchingType_4	TilleringType_1	TilleringType_2	TilleringType_3	TilleringType_4	RootsPos_1	RootsPos_2	RootsPos_3	RootsPos_4	LeafDistr_1	LeafDistr_2	LeafDistr_3	LeafDistr_4	OffspringSize_1	OffspringSize_2	OffspringSize_3	OffspringSize_4	ClonalVsRepr_1	ClonalVsRepr_2	ClonalVsRepr_3	ClonalVsRepr_4	GenerationOverlap_1	GenerationOverlap_2	GenerationOverlap_3	GenerationOverlap_4	DataType	Geography	Habitat	Date	Det	Herb	Photos	Drawings	Ndeg	Nmin	Edeg	Emin	Ref
Agrostis capillaris L.	no		no			1-10	1-10	1-10	>10	0	seasonal	seasonal	perennial	perennial		9	10			necessary	necessary			2	2			>2	>2			2-10	1			<0.01	0.01-0.25			sympodial	sympodial			intravaginal	extravaginal			along horiz. stem	on shoot base			semi-rosette	semi-rosette			about the same	about the same							yes	yes			picture interpretation	Austria	dry grassland										Kutschera, L. & Lichtenegger, E. 1982. Wurzelatlas mitteleuropäischer Grünlandpflanzen. Band 1 Monocotyledoneae.:	
Agrostis capillaris L.																1				regenerative																																																field observation	Czechia	wet grassland	30 X 2004									Lepš, J. 2004. Variability in population and community biomass in a grassland community affected by environmental productivity and diversity. Oikos 107: 64-71	
Agrostis capillaris L.	no		no			1-10	1-10	1-10	>10	0	seasonal	seasonal	perennial	perennial		9	10	1		necessary	necessary	necessary		1	1	1		>2	>2	2		1	2-10	1		<0.01	0.01-0.25	0.01-0.25		sympodial	sympodial	sympodial		intravaginal	extravaginal	extravaginal		on shoot base	on shoot base	on shoot base		no rosette	no rosette	no rosette		about the same	about the same	about the same						yes	yes	yes		picture interpretation	Germany											Schubert, R., Jäger, E. & Werner, K. 1987. Exkursionflora für die Gebiete der DDR und der BRD. Atlas der Gefässpflanzen. Band, 6. 3.:	
Agrostis capillaris L.	no		no			1-10	1-10	1-10	>10	0	seasonal	seasonal	seasonal	perennial		10	9			necessary	necessary							>2	>2			1	1			0.01-0.25	<0.01			sympodial	sympodial			extravaginal	intravaginal							no rosette	no rosette			about the same	about the same											picture interpretation	Czechia	deciduous woodland	12.8.1995				28						
Agrostis capillaris L.	no		no			1-10	1-10	1-10	>10	0	seasonal	seasonal	seasonal	perennial		10	9			necessary	necessary			1				>2	>2			<1	1			0.01-0.25	<0.01			sympodial	sympodial							along horiz. stem	along horiz. stem			no rosette	no rosette			about the same	about the same							no	no			picture interpretation	Czechia	dunes	29.3.1998				30						
Agrostis capillaris L.	no		no			1-10	1-10	1-10	>10	0	seasonal	seasonal	perennial	perennial		10	9			necessary	necessary							>2	>2			1	1			0.01-0.25	<0.01			sympodial	sympodial			intravaginal	extravaginal			along horiz. stem	along horiz. stem							about the same	about the same							no	no			picture interpretation	Czechia	dunes	29.3.1998				31						
Agrostis gigantea ROTH.	no	vegetative & generative	no	2		1-10	1-10	1-10	>10		seasonal	seasonal	seasonal	perennial		1	10			additive	necessary											2-10	2-10			0.01-0.25	0.01-0.25			sympodial	sympodial			extravaginal	extravaginal											about the same	about the same			prereproductive	prereproductive							field observation	Austria	arable										Kutschera L. 1960. Wurzelatlas mitteleuropäischer Ackerkräuter und Kulturpflanzen..  DLG - Verlags gmbh, Frankfurt am Main,: pp. 574	
Agrostis gigantea ROTH.	no		no			1-10	1-10	1-10	>10	0	seasonal	seasonal	perennial	perennial		9	10			necessary	necessary			2	2			>2	>2			1	2-10			<0.01	0.01-0.25			sympodial	sympodial			intravaginal	extravaginal			on shoot base	on shoot base			semi-rosette	semi-rosette			about the same	about the same							yes	yes			picture interpretation	Germany											Schubert, R., Jäger, E. & Werner, K. 1987. Exkursionflora für die Gebiete der DDR und der BRD. Atlas der Gefässpflanzen. Band, 6. 3.:	
Agrostis stolonifera L.						1-10	>10				seasonal	seasonal				1	1			additive	regenerative							1								0.01-0.25	dispersable			sympodial																about the same												second-hand information												Grime, J.P., Hodgson, J.G. & Hunt, R. 1988. Comparative plant ecology - a functional approach to common British species.:	
Agrostis stolonifera L.	no		no			1-10	1-10	>10	0	0	seasonal	seasonal	perennial			1				necessary				2								2-10				0.01-0.25				sympodial								along horiz. stem				no rosette				about the same								yes				field observation	Germany											Mühlberg, H. 1967. Die Wuchstypen der mitteldeutschen Poaceen. Hercynia 4: 11-50	
Agrostis stolonifera L.	no		no			1-10	1-10	>10	0	0	seasonal	seasonal	seasonal			1				necessary				2				2				2-10				0.01-0.25				sympodial				extravaginal				along horiz. stem				semi-rosette				about the same				prereproductive				yes				picture interpretation	Austria											Kutschera, L. & Lichtenegger, E. 1982. Wurzelatlas mitteleuropäischer Grünlandpflanzen. Band 1 Monocotyledoneae.:	
Agrostis stolonifera L.	no		no				1-10	>10	0	0		seasonal	seasonal			1				necessary												2-10				0.01-0.25																																picture interpretation												Volkart, A., Kirchner, O., Schelenberg, H.C. & Schröter, C. 1908. Gramineae. In: Lebensgeschichte der Blütenpflanzen Mitteleuropas. Band 1, Abt. 2 (eds O. Kirchner, E. Loew & C. Schröter):	
Agrostis stolonifera L.	no		no			1-10	1-10	>10	1-10	0	seasonal	seasonal	seasonal	seasonal		9	1			necessary	necessary			2	2			2	2			1	2-10			0.01-0.25	0.01-0.25			sympodial	sympodial			intravaginal	extravaginal			on shoot base	on shoot base			semi-rosette	semi-rosette			about the same	about the same							yes	yes			picture interpretation	Germany											Schubert, R., Jäger, E. & Werner, K. 1987. Exkursionflora für die Gebiete der DDR und der BRD. Atlas der Gefässpflanzen. Band, 6. 3.:	
