plot,block,idTreatment,plotSize,exposition,side,substrateType,sandRatio,substrateDepth,seedmixType,targetType,seedDensity,surveyDate_seeded,surveyDate_2018,surveyDate_2019,surveyDate_2020,surveyDate_2021,botanist_2018,botanist_2019,botanist_2020,botanist_2021,vegetationCov_2018,vegetationCov_2019,vegetationCov_2020,vegetationCov_2021,bioMass_2019
L2_13,2,L_241,4,south,land,4,0,30,1,hay_meadow,4,2018-04-13,2018-07-20,2019-06-21,2020-06-12,2021-07-07,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,70,50,65,70,NA
L2_14,2,L_243,4,south,land,4,0,30,3,dry_grassland,4,2018-04-13,2018-07-20,2019-06-21,2020-06-12,2021-07-07,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,80,70,80,90,NA
L2_15,2,L_244,4,south,land,4,0,30,4,dry_grassland,8,2018-04-13,2018-07-20,2019-06-21,2020-06-12,2021-07-07,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,85,80,70,60,NA
L2_16,2,L_242,4,south,land,4,0,30,2,hay_meadow,8,2018-04-13,2018-07-20,2019-06-21,2020-06-12,2021-07-07,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,80,80,85,70,NA
L2_17,2,L_254,4,south,land,5,25,30,4,dry_grassland,8,2018-04-13,2018-07-20,2019-06-21,2020-06-12,2021-07-07,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,65,80,80,70,NA
L2_18,2,L_251,4,south,land,5,25,30,1,hay_meadow,4,2018-04-13,2018-07-20,2019-06-21,2020-06-12,2021-07-07,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,50,70,65,80,NA
L2_19,2,L_253,4,south,land,5,25,30,3,dry_grassland,4,2018-04-13,2018-07-20,2019-06-20,2020-06-12,2021-07-07,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,30,60,55,80,NA
L2_20,2,L_252,4,south,land,5,25,30,2,hay_meadow,8,2018-04-13,2018-07-20,2019-06-20,2020-06-12,2021-07-07,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,75,70,75,80,NA
L2_21,2,L_261,4,south,land,6,50,30,1,hay_meadow,4,2018-04-13,2018-07-20,2019-06-20,2020-06-12,2021-07-07,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,70,60,75,90,NA
L2_22,2,L_262,4,south,land,6,50,30,2,hay_meadow,8,2018-04-13,2018-07-20,2019-06-20,2020-06-12,2021-07-07,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,55,60,65,60,NA
