id,plot,site,latitude,longitude,elevation,plot_size,exposition,orientation,sand_ratio,substrate_depth,target_type,seed_density,survey_year,vegetation_cover,botanist,biomass,survey_date,graminoid_cover,herb_cover,accumulated_cover,target_cover,seeded_cover,target_cover_ratio,graminoid_cover_ratio,seeded_cover_ratio,species_richness,rlg_richness,rlb_richness,target_richness,seeded_richness,ffh6510_richness,ffh6210_richness,fcs_target,fcs_seeded,shannon,evenness,esy,fdis_abu_lhs,cwm_abu_sla,cwm_abu_seedmass,cwm_abu_height
L1_18_2018,L1_18,1,4883856,1287752,314,4,south,land,25,30,dry_grassland,4,2018,50,Jakob Huber,NA,2018-07-21,0.5,62.5,63,1,1,0.016,0.008,0.016,8,0,0,2,2,0,0,-0.847,-0.847,0.706,0.339,V37,0.766,23.879,6.14,0.243
L1_18_2019,L1_18,1,4883856,1287752,314,4,south,land,25,30,dry_grassland,4,2019,80,Linda Weggler,NA,2019-06-21,1.5,80.5,82,36,33,0.439,0.018,0.402,19,1,0,10,4,4,0,0.095,-1.163,1.549,0.526,V37,1.059,21.913,2.964,0.262
L1_18_2020,L1_18,1,4883856,1287752,314,4,south,land,25,30,dry_grassland,4,2020,70,Jakob Huber,NA,2020-06-13,7,60.5,67.5,10,5.5,0.148,0.104,0.081,17,1,0,8,5,3,0,-0.105,-0.773,1.207,0.426,V37,0.791,24.932,5.616,0.234
L1_18_2021,L1_18,1,4883856,1287752,314,4,south,land,25,30,dry_grassland,4,2021,80,Markus Bauer,NA,2021-07-05,6.5,85.5,92,35,31,0.38,0.071,0.337,17,1,0,11,6,5,1,0.539,-0.539,1.914,0.676,R,1.399,22.851,1.374,0.239
L1_18_seeded,L1_18,1,4883856,1287752,314,4,south,land,25,30,dry_grassland,4,seeded,NA,NA,NA,2018-04-27,60.199999999999996,43.099999999999994,103.3,103.3,NA,1,0.583,NA,20,5,1,20,NA,2,8,3.045,NA,2.854,0.953,R1A,1.113,18.57,1.151,0.296
L1_19_2018,L1_19,1,4883856,1287752,314,4,south,land,25,30,dry_grassland,8,2018,50,Jakob Huber,NA,2018-07-21,1,51.5,52.5,0.5,0.5,0.01,0.019,0.01,6,0,1,1,1,0,0,-1.099,-1.099,0.268,0.15,V37,0.158,25.713,9.687,0.209
L1_19_2019,L1_19,1,4883856,1287752,314,4,south,land,25,30,dry_grassland,8,2019,80,Linda Weggler,NA,2019-06-21,0.5,81,81.5,43.5,20.5,0.534,0.006,0.252,16,0,1,9,2,4,0,0.223,-1.609,1.644,0.593,V37,1.158,23.389,2.494,0.316
L1_19_2020,L1_19,1,4883856,1287752,314,4,south,land,25,30,dry_grassland,8,2020,75,Jakob Huber,NA,2020-06-13,0.5,91.5,92,41,24,0.446,0.005,0.261,15,0,1,12,6,3,3,1.179,-0.357,1.429,0.528,V37,1.188,23.748,3.47,0.299
L1_19_2021,L1_19,1,4883856,1287752,314,4,south,land,25,30,dry_grassland,8,2021,90,Markus Bauer,NA,2021-07-05,0,109,109,70.5,46,0.647,0,0.422,12,0,1,8,4,1,1,0.588,-0.588,1.693,0.681,V37,1.451,22.315,1.598,0.45
L1_19_seeded,L1_19,1,4883856,1287752,314,4,south,land,25,30,dry_grassland,8,seeded,NA,NA,NA,2018-04-27,60.199999999999996,39.8,100,100,NA,1,0.602,NA,20,4,2,20,NA,4,9,3.045,NA,2.848,0.951,R,1.262,20.617,0.89,0.296
L1_20_2018,L1_20,1,4883856,1287752,314,4,south,land,25,30,hay_meadow,8,2018,50,Jakob Huber,NA,2018-07-21,0,50.5,50.5,0,0,0,0,0,2,0,0,0,0,0,0,-1.099,-1.099,0.056,0.08,V37,0.049,25.698,10.123,0.202
L1_20_2019,L1_20,1,4883856,1287752,314,4,south,land,25,30,hay_meadow,8,2019,80,Linda Weggler,NA,2019-06-21,0.5,86.5,87,70,8.5,0.805,0.006,0.098,12,0,0,7,3,5,1,0.288,-0.916,1.195,0.481,V37,0.628,19.804,1.358,0.275
L1_20_2020,L1_20,1,4883856,1287752,314,4,south,land,25,30,hay_meadow,8,2020,75,Jakob Huber,NA,2020-06-13,6,84,90,57.5,4,0.639,0.067,0.044,18,1,1,12,5,7,1,0.619,-0.847,1.66,0.574,V37,1.111,20.879,1.662,0.279
L1_20_2021,L1_20,1,4883856,1287752,314,4,south,land,25,30,hay_meadow,8,2021,80,Markus Bauer,NA,2021-07-05,5.5,84,89.5,23.5,2.5,0.263,0.061,0.028,16,0,0,8,2,2,2,0,-1.609,1.98,0.714,V37,1.665,21.805,3.019,0.374
L1_20_seeded,L1_20,1,4883856,1287752,314,4,south,land,25,30,hay_meadow,8,seeded,NA,NA,NA,2018-04-27,60.199999999999996,39.8,100,100,NA,1,0.602,NA,20,3,0,20,NA,12,3,3.045,NA,2.848,0.951,R22,1.211,23.551,0.717,0.351
L1_21_2018,L1_21,1,4883856,1287752,314,4,south,land,50,30,hay_meadow,8,2018,30,Jakob Huber,NA,2018-07-21,3,32,35,1,0.5,0.029,0.086,0.014,9,0,0,2,1,2,0,-0.981,-1.504,1.046,0.476,V37,0.816,19.383,0.99,0.461
L1_21_2019,L1_21,1,4883856,1287752,314,4,south,land,50,30,hay_meadow,8,2019,60,Linda Weggler,NA,2019-06-21,1.5,58.5,60,43.5,1,0.725,0.025,0.017,13,0,0,8,2,3,0,0.405,-1.386,1.175,0.458,V38,0.651,19.883,1.321,0.273
L1_21_2020,L1_21,1,4883856,1287752,314,4,south,land,50,30,hay_meadow,8,2020,70,Jakob Huber,NA,2020-06-13,3,74.5,77.5,64,2.5,0.826,0.039,0.032,15,0,0,10,5,6,0,0.606,-0.606,1.407,0.52,V38,0.852,18.603,1.572,0.319
L1_21_2021,L1_21,1,4883856,1287752,314,4,south,land,50,30,hay_meadow,8,2021,90,Markus Bauer,NA,2021-07-05,14,78,92,23,6.5,0.25,0.152,0.071,24,0,0,14,7,7,0,0.31,-0.811,2.484,0.781,V37,1.623,22.402,1.036,0.355
L1_21_seeded,L1_21,1,4883856,1287752,314,4,south,land,50,30,hay_meadow,8,seeded,NA,NA,NA,2018-04-27,60.199999999999996,39.8,100,100,NA,1,0.602,NA,20,1,0,20,NA,16,0,3.045,NA,2.848,0.951,R22,0.956,23.916,0.885,0.455
L1_22_2018,L1_22,1,4883856,1287752,314,4,south,land,50,30,dry_grassland,8,2018,65,Jakob Huber,NA,2018-07-21,1.5,61.5,63,0,0,0,0.024,0,8,0,0,0,0,0,0,-2.197,-2.197,0.55,0.264,V37,0.476,18.111,0.759,0.501
L1_22_2019,L1_22,1,4883856,1287752,314,4,south,land,50,30,dry_grassland,8,2019,60,Linda Weggler,NA,2019-06-21,1.5,56,57.5,17,10.5,0.296,0.026,0.183,13,0,0,6,2,2,2,-0.134,-1.386,1.344,0.524,V37,0.735,23.089,5.284,0.229
