name,abb,family,group,rlg,rlb,neophyte,t,f,r,n,ffh6510,ffh6210,biotope_target,table_31,table_34,table_35,table_36,mapped_2011,special_target,seed_availability,seeded_hay_meadow,seeded_dry_grassland,target,seeded,rate_2018,rate_2019,rate_2020,rate_2021,total_seeded_2018,total_established_2018,total_established_2019,total_established_2020,total_established_2021,sla,seedmass,height
Galium_verum,Galiveru,Rubiaceae,herb,no,no,no,6,4,7,3,0,0,1,NA,NA,NA,1,NA,NA,1,0,1,1,1,0.14,0.42,0.44,0.42,36,5,15,16,15,22.25,0.481,0.425
Geranium_dissectum,Geradiss,Geraniaceae,herb,no,no,no,6,5,8,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.6,2.586,0.35
Geranium_molle,Geramoll,Geraniaceae,herb,no,no,no,6,4,5,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.1,1.07,0.2
Geranium_pratense,Geraprat,Geraniaceae,herb,no,no,no,6,5,8,7,0,0,1,NA,NA,NA,1,NA,NA,1,1,0,1,1,0,0.12,0.32,0.59,34,0,4,11,20,21.35,8.192,0.375
Geranium_pusillum,Gerapusi,Geraniaceae,herb,no,no,no,6,4,NA,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.6,0.739,0.2
Geranium_pyrenaicum,Gerapyre,Geraniaceae,herb,no,no,yes,6,5,7,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.03,1.792,0.425
Geum_urbanum,Geumurba,Rosaceae,herb,no,no,no,5,5,NA,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.9,2.449,0.4
Glechoma_hederacea,Glechede,Lamiaceae,herb,no,no,no,6,6,NA,7,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.45,0.685,0.2
Helianthemum_nummularium,Helinumm,Cistaceae,herb,3,3,no,6,3,7,1,0,1,1,NA,2,2,1,NA,NA,1,0,1,1,1,0,0,0,0,33,0,0,0,0,14.7,1.122,0.115
Helianthus_annuus,Heliannu,Asteraceae,herb,no,no,yes,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.235,49,1.8
Helianthus_tuberosus,Helitube,Asteraceae,herb,no,no,yes,7,6,7,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.05,3.8,1.75
Helictotrichon_pubescens,Helipube,Poaceae,top-grass,no,no,no,NA,NA,NA,4,1,0,1,NA,4,NA,NA,NA,NA,1,0,1,1,1,0,0.03,0.29,0.43,72,0,2,21,31,22.37,1.924,0.6
Hippocrepis_comosa,Hippcomo,Fabaceae,legume,V,no,no,5,3,7,2,0,1,1,NA,2,2,NA,NA,NA,1,0,1,1,1,0.02,0,0.08,0.02,61,1,0,5,1,14.845,3.895,0.14
Holcus_lanatus,Holclana,Poaceae,sub-grass,no,no,no,6,6,NA,4,1,0,1,4,4,NA,NA,NA,NA,1,1,0,1,1,0,0.31,0.36,0.29,86,0,27,31,25,33.05,0.4,0.325
Hordeum_vulgare,Hordvulg,Poaceae,grass,no,no,yes,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,40.905,0.965
Hypericum_perforatum,Hypeperf,Hypericaceae,herb,no,no,no,6,4,6,3,0,0,1,NA,4,NA,1,NA,NA,1,0,1,1,1,0,0.03,0.03,0.29,35,0,1,1,10,23.241,0.11,0.425
Hypochaeris_radicata,Hyporadi,Asteraceae,herb,no,no,no,5,5,4,3,0,0,1,NA,4,NA,1,NA,NA,1,1,1,1,1,0.44,0.5,0.49,0.31,72,32,36,35,22,21.4,0.655,0.065
Inula_salicina,Inulsali,Asteraceae,herb,V,no,no,6,6,9,2,0,0,1,NA,3,NA,NA,NA,NA,1,0,1,1,1,0,0,0,0,37,0,0,0,0,26.63,0.242,0.5
Iris_pseudacorus,Irispseu,Iridaceae,herb,no,no,no,6,9,NA,7,0,0,0,2,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.95,47.597,0.75
Iris_spec,Irisspec,Iridaceae,herb,no,no,no,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacobaea_vulgaris,Jacovulg,Asteraceae,herb,no,no,no,5,4,7,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.9,0.269,0.2
Knautia_arvensis,Knauarve,Caprifoliaceae,herb,no,no,no,6,4,NA,4,1,0,1,NA,NA,NA,1,NA,NA,1,1,1,1,1,0.13,0.4,0.6,0.61,70,9,28,42,43,18.72,3.928,0.425
Koeleria_pyramidata,Koelpyra,Poaceae,sub-grass,V,no,no,6,4,7,2,0,1,1,NA,2,NA,NA,NA,NA,1,0,1,1,1,0,0.01,0.15,0.38,71,0,1,11,27,16.53,2.3,0.325
Lactuca_serriola,Lactserr,Asteraceae,herb,no,no,no,7,4,NA,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.586,0.569,0.675
Lamium_maculatum,Lamimacu,Lamiaceae,herb,no,no,no,NA,6,7,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.2,1.8,0.375
Lamium_purpureum,Lamipurp,Lamiaceae,herb,no,no,no,5,5,7,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,0.669,0.275
Lapsana_communis,Lapscomm,Asteraceae,herb,no,no,no,6,5,NA,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.865,1.037,0.5
Lathyrus_pratensis,Lathprat,Fabaceae,legume,no,no,no,5,6,7,6,1,0,1,NA,NA,NA,1,NA,NA,1,1,0,1,1,0.01,0.09,0.21,0.36,86,1,8,18,31,25.7,13.267,0.65
Lathyrus_sylvestris,Lathsylv,Fabaceae,legume,no,no,no,6,4,8,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.575,1.5
Lathyrus_tuberosus,Lathtube,Fabaceae,legume,no,no,no,6,4,8,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.35,28.37,0.65
Leontodon_hispidus,Leonhisp,Asteraceae,herb,no,no,no,NA,5,7,6,0,0,1,NA,4,NA,1,NA,NA,1,0,1,1,1,0.09,0.37,0.46,0.29,35,3,13,16,10,24.644,0.987,0.235
Lepidium_campestre,Lepicamp,Brassicaceae,herb,no,no,no,6,4,8,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.305,2.502,0.285
Leucanthemum_vulgare,Leucvulg,Asteraceae,herb,no,no,no,NA,4,NA,3,1,0,1,NA,4,NA,1,NA,NA,1,1,1,1,1,0.18,0.48,0.62,0.3,73,13,35,45,22,17.99,0.413,0.364
Linum_spec,Linuspec,Linaceae,herb,no,no,no,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lolium_perenne,Lolipere,Poaceae,sub-grass,no,no,no,6,5,7,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.52,1.808,0.125
Lotus_corniculatus,Lotucorn,Fabaceae,legume,no,no,no,NA,4,7,3,0,0,1,NA,4,NA,1,NA,NA,1,1,1,1,1,0.36,0.49,0.45,0.34,148,54,73,66,51,23.05,1.32,0.213
Lysimachia_nummularia,Lysinumm,Primulaceae,herb,no,no,no,6,6,NA,NA,0,0,0,NA,NA,NA,1,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.67,0.5,0.45
Lysimachia_vulgaris,Lysivulg,Primulaceae,herb,no,no,no,NA,8,NA,NA,0,0,0,4,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.4,0.352,0.967
Lythrum_salicaria,Lythsali,Lythraceae,herb,no,no,no,5,8,6,NA,0,0,0,3,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.13,0.078,0.625
Malva_spec,Malvspec,Malvaceae,herb,no,no,no,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medicago_falcata,Medifalc,Fabaceae,legume,no,no,no,6,3,9,3,0,1,1,NA,4,NA,1,NA,NA,1,0,1,1,1,0.02,0.35,0.52,0.56,62,1,22,32,35,18.1,1.74,0.35
Medicago_lupulina,Medilupu,Fabaceae,legume,no,no,no,5,4,8,NA,1,0,1,NA,NA,NA,1,1,NA,1,1,1,1,1,0.09,0.48,0.69,0.13,148,13,71,102,19,27.9,1.842,0.325
Medicago_minima,Medimini,Fabaceae,legume,V,no,no,7,3,8,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.55,0.864,0.088
Medicago_sativa,Medisati,Fabaceae,legume,no,no,yes,6,4,7,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.65,2.364,0.61
Melilotus_albus,Melialbu,Fabaceae,legume,no,no,no,6,3,7,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2.83,0.7
Myosotis_arvensis,Myosarve,Boraginaceae,herb,no,no,no,6,5,NA,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.8,0.29,0.165
Nardus_stricta,Nardstri,Poaceae,sub-grass,V,no,no,NA,NA,2,2,0,0,0,2,2,2,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.02,0.37,0.12
Oenothera_biennis,Oenobien,Onagraceae,herb,no,no,yes,7,4,NA,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.38,0.49,0.6
Onobrychis_viciifolia,Onobvici,Fabaceae,legume,no,no,yes,7,3,8,3,0,0,1,NA,4,NA,1,NA,NA,1,0,1,1,1,0.56,0.7,0.52,0.23,61,34,43,32,14,18.2,19.794,0.35
Ononis_spinosa,Ononspin,Fabaceae,legume,no,no,no,6,4,7,3,0,0,0,NA,3,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.41,5.345,0.275
Origanum_vulgare,Origvulg,Lamiaceae,herb,no,no,no,NA,3,8,3,0,0,0,NA,NA,NA,NA,1,NA,1,1,1,1,1,0,0.29,0.42,0.57,69,0,20,29,39,21.196,0.098,0.375
Papaver_dubium,Papadubi,Papaveraceae,herb,no,no,no,6,4,5,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,0.12,0.4
Papaver_rhoeas,Paparhoe,Papaveraceae,herb,no,no,no,6,5,7,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,0.11,0.4
Pastinaca_sativa,Pastsati,Apiaceae,herb,no,no,no,6,4,8,5,0,0,1,NA,NA,NA,1,NA,NA,1,1,0,1,1,0,0.6,0.6,0.6,35,0,21,21,21,19.7,3.922,0.45
Persicaria_amphibia,Persamph,Polygonaceae,herb,no,no,no,6,11,6,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,4.184,0.475
Persicaria_bistorta,Persbist,Polygonaceae,herb,no,no,no,4,7,5,5,0,0,0,4,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.44,5.479,0.375
Persicaria_lapathifolia,Perslapa,Polygonaceae,herb,no,no,no,6,8,NA,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.45,2.25,0.738
Persicaria_minor,Persmino,Polygonaceae,herb,no,no,no,6,8,5,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.9,0.946,0.2
Persicaria_mitis,Persmiti,Polygonaceae,herb,no,no,no,6,8,6,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,1.305,0.325
Peucedanum_cervaria,Peuccerv,Apiaceae,herb,V,no,no,6,3,7,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.56,5.321,0.375
Peucedanum_oreoselinum,Peucoreo,Apiaceae,herb,V,no,no,6,3,6,2,0,0,1,NA,2,2,NA,NA,NA,1,0,1,1,1,0,0,0,0,34,0,0,0,0,16.27,3.466,0.5
Phleum_phleoides,Phlephle,Poaceae,top-grass,V,no,no,6,3,8,2,0,1,1,NA,NA,2,NA,0,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.52,0.166,0.3
Phleum_pratense,Phleprat,Poaceae,top-grass,no,no,no,NA,5,NA,6,0,0,0,NA,NA,NA,NA,1,NA,1,1,0,1,1,0,0.21,0.11,0.17,128,0,27,14,22,24.4,0.466,0.371
Pimpinella_major,Pimpmajo,Apiaceae,herb,no,no,no,5,5,7,7,0,0,1,NA,NA,NA,1,NA,NA,1,1,0,1,1,0,0,0.03,0.26,34,0,0,1,9,28.6,2.118,0.625
Pimpinella_saxifraga,Pimpsaxi,Apiaceae,herb,no,no,no,NA,3,NA,2,1,0,1,NA,4,NA,1,NA,NA,1,0,1,1,1,0,0,0.06,0.03,35,0,0,2,1,14.1,1.13,0.3
Plantago_lanceolata,Planlanc,Plantaginaceae,herb,no,no,no,NA,NA,NA,NA,1,0,1,NA,NA,NA,1,NA,NA,1,1,0,1,1,0.45,0.35,0.55,0.63,51,23,18,28,32,19,1.809,0.15
Plantago_major,Planmajo,Plantaginaceae,herb,no,no,no,NA,5,NA,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.49,0.25,0.37
Plantago_major_ssp_intermedia,Planmajointe,Plantaginaceae,herb,no,no,no,6,7,5,4,0,0,0,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.13,NA,NA
Plantago_media,Planmedi,Plantaginaceae,herb,no,no,no,NA,4,7,3,0,0,1,NA,4,NA,1,NA,NA,1,0,1,1,1,0,0.14,0.26,0.17,35,0,5,9,6,19.55,0.391,0.05
Poa_angustifolia,Poaangu,Poaceae,sub-grass,no,no,no,6,NA,NA,3,0,0,1,NA,NA,NA,NA,NA,NA,1,0,1,1,1,0,0.19,0.23,0.15,74,0,14,17,11,15.55,0.207,0.36
Poa_compressa,Poacomp,Poaceae,sub-grass,no,no,no,NA,3,9,3,0,0,1,NA,NA,NA,NA,NA,NA,1,1,0,1,1,0,0.37,0.2,0,51,0,19,10,0,21.7,0.202,0.375
Poa_pratensis,Poaprat,Poaceae,sub-grass,no,no,no,NA,5,NA,6,1,0,1,NA,NA,NA,NA,NA,NA,1,1,0,1,1,0,0.09,0.11,0.34,47,0,4,5,16,19.7,0.255,0.3
Poa_trivialis,Poatriv,Poaceae,sub-grass,no,no,no,NA,7,NA,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,0.172,0.141
Poaceae,Poac,Poaceae,grass,no,no,no,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polygonum_aviculare,Polyavic,Polygonaceae,herb,no,no,no,6,4,NA,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7,1.82,1.138
Populus_alba,Popualba,Salicaceae,tree,no,no,no,7,7,8,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.87,0.12,23.25
Potentilla_anserina,Poteanse,Rosaceae,herb,no,no,no,6,6,NA,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.61,0.879,0.05
Potentilla_erecta,Poteerec,Rosaceae,herb,no,no,no,NA,NA,NA,2,0,0,0,3,3,NA,1,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.51,0.476,0.2
Potentilla_recta,Poterect,Rosaceae,herb,no,no,no,7,3,5,2,0,0,0,NA,NA,NA,NA,1,NA,1,0,1,1,1,0,0,0.5,0.5,36,0,0,18,18,15.435,0.259,0.4
Potentilla_reptans,Poterept,Rosaceae,herb,no,no,no,6,6,7,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.41,0.276,0.3
Prunella_grandiflora,Prungran,Lamiaceae,herb,V,no,no,NA,3,8,3,0,0,1,NA,2,2,NA,NA,NA,1,0,1,1,1,0,0,0,0.06,35,0,0,0,2,20.11,0.778,0.132
Prunella_vulgaris,Prunvulg,Lamiaceae,herb,no,no,no,NA,5,7,NA,1,0,1,NA,NA,NA,NA,NA,NA,1,1,0,1,1,0,0.2,0.34,0.49,35,0,7,12,17,31,0.671,0.145
Prunus_avium,Prunaviu,Rosaceae,tree,no,no,no,5,5,7,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.45,190.66,13.5
Prunus_padus,Prunpadu,Rosaceae,tree,no,no,no,5,8,7,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.34,80.5,9
Quercus_robur,Querrobu,Fagaceae,tree,no,no,no,5,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.235,3413,40
Ranunculus_acris,Ranuacri,Ranunculaceae,herb,no,no,no,NA,6,NA,NA,1,0,1,NA,NA,NA,1,NA,NA,1,1,0,1,1,0,0,0.29,0.24,34,0,0,10,8,22.5,1.79,0.262
Ranunculus_bulbosus,Ranubulb,Ranunculaceae,herb,no,no,no,6,3,7,3,0,1,1,NA,4,NA,1,NA,NA,1,1,1,1,1,0.01,0.26,0.21,0,72,1,19,15,0,18.1,2.23,0.175
Ranunculus_polyanthemos,Ranupoly,Ranunculaceae,herb,V,1,no,6,4,NA,2,0,0,0,NA,3,NA,1,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.08,2.495,0.375
Ranunculus_repens,Ranurepe,Ranunculaceae,herb,no,no,no,NA,7,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,2.279,0.2
Reseda_lutea,Reselute,Resedaceae,herb,no,no,no,6,3,8,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7,0.761,0.3
Rhinanthus_alectorolophus,Rhinalec,Orobanchaceae,hemiparasite,no,no,no,NA,4,7,3,0,0,0,NA,4,NA,1,NA,1,1,1,1,1,1,0,0.41,0.37,0.28,145,0,59,53,40,21.18,3.97,0.45
Rhinanthus_minor,Rhinmino,Orobanchaceae,hemiparasite,no,no,no,5,NA,NA,3,0,0,0,NA,4,2,1,NA,1,1,1,1,1,1,0,0.38,0.14,0,143,0,55,20,0,19.945,2.838,0.35
Rorippa_sylvestris,Rorisylv,Brassicaceae,herb,no,no,no,6,8,8,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5,0.096,0.3
Rubus_caesius,Rubucaes,Rosaceae,halfshrub,no,no,no,5,NA,8,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,3.635,0.475
Rumex_acetosa,Rumeacet,Polygonaceae,herb,no,no,no,NA,NA,NA,6,1,0,1,NA,NA,NA,1,NA,NA,1,1,0,1,1,0.26,0.53,0.56,0.35,34,9,18,19,12,26.92,0.904,0.475
Rumex_obtusifolius,Rumeobtu,Polygonaceae,herb,no,no,no,5,6,NA,9,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.3,1.175,0.675
Salix_purpurea,Salipurp,Salicaceae,tree,no,no,no,5,NA,8,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.497,0.09,2.25
Salix_spec,Salispec,Salicaceae,shrub,no,no,no,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia_pratensis,Salvprat,Lamiaceae,herb,V,no,no,6,3,8,4,0,0,1,NA,3,NA,1,NA,NA,1,1,1,1,1,0.48,0.73,0.77,0.55,82,39,60,63,45,26.38,2.296,0.375
Sanguisorba_minor,Sangmino,Rosaceae,herb,no,no,no,6,3,8,2,0,1,1,NA,3,NA,1,NA,NA,1,1,1,1,1,0.43,0.93,0.9,0.86,70,30,65,63,60,19.25,4.508,0.2
Sanguisorba_officinalis,Sangoffi,Rosaceae,herb,V,no,no,5,7,NA,NA,0,0,1,4,NA,NA,1,NA,NA,1,1,0,1,1,0.16,0.08,0.14,0.25,51,8,4,7,13,21.4,2.264,0.475
Saxifraga_granulata,Saxigran,Saxifragaceae,herb,V,no,no,6,4,5,3,0,0,0,4,3,NA,1,NA,0,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.8,0.028,0.1
Scabiosa_columbaria,Scabcolu,Caprifoliaceae,herb,no,no,no,5,3,8,3,0,1,1,NA,3,3,1,NA,NA,1,0,1,1,1,0,0,0.17,0.31,36,0,0,6,11,18.36,2.058,0.275
Securigera_varia,Secuvari,Fabaceae,legume,no,no,no,6,4,9,3,0,0,0,NA,4,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.49,5.404,0.425
Sedum_acre,Seduacre,Crassulaceae,herb,no,no,no,6,2,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,1,0,1,1,1,0.03,0.47,0.58,0.11,36,1,17,21,4,11.9,0.04,0.06
Sedum_maximum,Sedumaxi,Crassulaceae,herb,no,no,no,6,3,5,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2,0.053,0.45
Sedum_sexangulare,Sedusexa,Crassulaceae,herb,no,no,no,5,2,6,1,0,0,0,NA,NA,3,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.98,0.01,0.158
Setaria_pumila,Setapumi,Poaceae,grass,no,no,no,7,4,5,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.581,1.59,0.46
Setaria_spec,Setaspec,Poaceae,grass,no,no,no,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Setaria_verticillata,Setavert,Poaceae,grass,no,no,no,7,4,NA,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.995,0.45
Setaria_viridis,Setaviri,Poaceae,sub-grass,no,no,no,6,4,NA,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.82,1.16,0.512
Silaum_silaus,Silasila,Apiaceae,herb,V,no,no,6,NA,7,2,0,0,1,4,NA,NA,1,NA,NA,1,1,0,1,1,0,0,0.11,0.03,36,0,0,4,1,17.2,1.444,0.5
Silene_dioica,Siledioi,Caryophyllaceae,herb,no,no,no,NA,6,7,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.718,0.782,0.591
Silene_flos-cuculi,Sileflos,Caryophyllaceae,herb,no,no,no,5,7,NA,NA,0,0,1,4,NA,NA,1,NA,NA,1,1,0,1,1,0,0,0.09,0,33,0,0,3,0,25,0.2,0.412
Silene_latifolia_ssp_alba,Silelatialba,Caryophyllaceae,herb,no,no,no,6,4,NA,7,0,0,1,NA,NA,NA,NA,NA,NA,1,1,0,1,1,0.35,0.47,0.44,0.44,34,12,16,15,15,20.25,0.935,0.475
Silene_vulgaris,Silevulg,Caryophyllaceae,herb,no,no,no,NA,4,7,2,0,0,1,NA,3,NA,1,NA,NA,1,0,1,1,1,0.64,0.97,0.94,0.86,36,23,35,34,31,18.85,0.86,0.26
Sisymbrium_officinale,Sisyoffi,Brassicaceae,herb,no,no,no,6,4,NA,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.55,0.247,0.35
Solidago_gigantea,Soligiga,Asteraceae,herb,no,no,yes,6,6,NA,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.25,0.062,1.375
Sonchus_arvensis,Soncarve,Asteraceae,herb,no,no,no,5,5,7,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.9,0.678,0.875
Sonchus_asper,Soncaspe,Asteraceae,herb,no,no,no,5,6,7,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.072,0.28,0.475
