name,abb,family,group,rlg,rlb,neophyte,t,f,r,n,ffh6510,ffh6210,biotope_target,table_31,table_34,table_35,table_36,mapped_2011,special_target,seed_availability,seeded_hay_meadow,seeded_dry_grassland,target,seeded,rate_2018,rate_2019,rate_2020,rate_2021,total_seeded_2018,total_established_2018,total_established_2019,total_established_2020,total_established_2021,sla,seedmass,height
Cichorium_intybus,Cichinty,Asteraceae,herb,no,no,no,6,4,8,5,0,0,0,NA,NA,NA,NA,0,1,1,1,0,1,1,0.47,0.67,0.47,0.49,49,23,33,23,24,28.56,1.99,0.625
Cirsium_arvense,Cirsarve,Asteraceae,herb,no,no,no,5,NA,NA,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.95,1.24,0.863
Cirsium_oleraceum,Cirsoler,Asteraceae,herb,no,no,no,NA,7,8,5,0,0,1,4,NA,NA,1,NA,NA,1,1,0,1,1,0,0.03,0,0.08,36,0,1,0,3,30.078,2.545,0.8
Cirsium_vulgare,Cirsvulg,Asteraceae,herb,no,no,no,5,5,7,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1,2.506,0.9
Clinopodium_vulgare,Clinvulg,Lamiaceae,herb,no,no,no,NA,4,7,3,0,0,1,NA,4,NA,NA,NA,NA,1,0,1,1,1,0.06,0.37,0.4,0.51,35,2,13,14,18,23.6,0.416,0.425
Consolida_regalis,Consrega,Ranunculaceae,herb,3,3,no,7,5,8,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.38,1.093,0.225
Convolvulus_arvensis,Convarve,Convolvulaceae,herb,no,no,no,6,4,7,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.8,10.42,0.2
Cornus_controversa,Corncont,Cornaceae,shrub,no,no,no,5,5,7,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.15,55.2,3
Cota_tinctoria,Cotatinc,Asteraceae,herb,no,no,no,6,3,6,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.215,0.381,0.375
Crepis_biennis,Crepbien,Asteraceae,herb,no,no,no,5,5,6,5,1,0,1,NA,NA,NA,1,NA,NA,1,1,0,1,1,0.24,0.48,0.48,0.36,50,12,24,24,18,29.9,1.232,0.575
Crepis_capillaris,Crepcapi,Asteraceae,herb,no,no,no,6,5,6,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.4,0.225,0.275
Cynosurus_cristatus,Cynocris,Poaceae,sub-grass,no,no,no,5,5,NA,4,1,0,1,NA,NA,NA,NA,NA,NA,1,1,0,1,1,0,0.02,0.13,0.22,45,0,1,6,10,22.7,0.56,0.49
Dactylis_glomerata,Dactglom,Poaceae,top-grass,no,no,no,NA,5,NA,6,0,0,1,NA,NA,NA,NA,NA,0,NA,0,0,1,1,0.03,0.43,0.47,0.59,58,2,25,27,34,24.25,0.978,0.454
Daucus_carota,Dauccaro,Apiaceae,herb,no,no,no,6,4,NA,4,1,0,1,NA,NA,NA,1,NA,NA,1,1,0,1,1,0.42,0.62,0.6,0.4,48,20,30,29,19,18.725,1.093,0.412
Dianthus_carthusianorum,Diancart,Caryophyllaceae,herb,V,no,no,5,3,7,2,0,1,1,NA,3,3,1,NA,NA,1,0,1,1,1,0,0.34,0.63,0.66,38,0,13,24,25,16.355,1.026,0.26
Dipsacus_fullonum,Dipsfull,Caprifoliaceae,herb,no,no,no,6,6,8,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.1,2.933,1
Echinochloa_crus-galli,Echicrus,Poaceae,grass,no,no,no,7,5,NA,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.56,2.54,0.575
Echium_vulgare,Echivulg,Boraginaceae,herb,no,no,no,6,4,8,4,0,0,0,NA,NA,NA,NA,1,NA,1,0,1,1,1,0.94,0.97,0.97,0.88,34,32,33,33,30,14.45,2.818,0.55
Elymus_repens,Elymrepe,Poaceae,top-grass,no,no,no,6,NA,NA,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.131,2.017,0.75
Epilobium_obscurum,Epilobsc,Onagraceae,herb,V,G,no,5,8,4,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.2,0.068,0.45
Epilobium_parviflorum,Epilparv,Onagraceae,herb,no,no,no,5,9,8,6,0,0,0,3,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.75,0.075,0.45
Epilobium_spec,Epilspec,Onagraceae,herb,no,no,no,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Equisetum_arvense,Equiarve,Equisetaceae,herb,no,no,no,NA,6,NA,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.901,NA,0.325
Eragrostis_minor,Eragmino,Poaceae,grass,no,no,yes,7,3,NA,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.2,0.092,0.125
Erigeron_annuus,Erigannu,Asteraceae,herb,no,no,yes,6,6,NA,8,0,0,0,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.065,0.04,0.788
Erigeron_canadensis,Erigcana,Asteraceae,herb,no,no,yes,6,4,NA,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6,0.046,0.525
