id,reference,exposition,target_type,group_type,NMDS1,NMDS2,mean1,mean2
L1_24_2020,2020,south,dry_grassland,2020,-0.36803175163990287,0.25188323822265907,-0.11173635142972259,0.11953103169259205
L1_24_2021,2021,south,dry_grassland,2021,0.012492942141686005,0.4524605354377113,-0.02236579753931777,0.1905167811556726
L1_24_seeded,seeded,south,dry_grassland,seeded,0.9076391764543055,0.2834806320882951,0.5377147617840167,-0.09756544043457768
L2_01_2018,2018,south,hay_meadow,2018,-1.0268534362370012,-0.2567012246513158,-0.11340211503171282,-0.11907083492843955
L2_01_2019,2019,south,hay_meadow,2019,-0.45459682954709185,0.10252794243512017,-0.5579864812065191,-0.11310545854624686
L2_01_2020,2020,south,hay_meadow,2020,-0.3775149468535447,0.2661478810792118,-0.11173635142972259,0.11953103169259205
L2_01_2021,2021,south,hay_meadow,2021,-0.32321776643872446,0.3965468158350753,-0.02236579753931777,0.1905167811556726
L2_01_seeded,seeded,south,hay_meadow,seeded,0.849188442682414,-0.48112515583135823,0.5377147617840167,-0.09756544043457768
L2_02_2018,2018,south,dry_grassland,2018,-1.190771564629146,-0.07982721852706952,-0.11340211503171282,-0.11907083492843955
L2_02_2019,2019,south,dry_grassland,2019,-0.5871674552655274,0.3194068414648897,-0.5579864812065191,-0.11310545854624686
L2_02_2020,2020,south,dry_grassland,2020,-0.2522096337408386,0.43596911487091905,-0.11173635142972259,0.11953103169259205
L2_02_2021,2021,south,dry_grassland,2021,-0.29043098770608394,0.6481033874336853,-0.02236579753931777,0.1905167811556726
L2_02_seeded,seeded,south,dry_grassland,seeded,1.1214187653179053,0.48053827359464957,0.5377147617840167,-0.09756544043457768
L2_03_2018,2018,south,hay_meadow,2018,-1.3944660656184924,-0.19774571776132285,-0.11340211503171282,-0.11907083492843955
L2_03_2019,2019,south,hay_meadow,2019,-0.38266634739994326,-0.132769144090558,-0.5579864812065191,-0.11310545854624686
L2_03_2020,2020,south,hay_meadow,2020,-0.08164689878388535,0.13669164863479735,-0.11173635142972259,0.11953103169259205
L2_03_2021,2021,south,hay_meadow,2021,-0.14219235231328609,0.23320521209150502,-0.02236579753931777,0.1905167811556726
L2_03_seeded,seeded,south,hay_meadow,seeded,0.8204080493324369,-0.5670458133042752,0.5377147617840167,-0.09756544043457768
L2_04_2018,2018,south,dry_grassland,2018,-1.1819522889763403,0.05570188636930361,-0.11340211503171282,-0.11907083492843955
L2_04_2019,2019,south,dry_grassland,2019,-0.46825851656647677,0.1872013485661499,-0.5579864812065191,-0.11310545854624686
L2_04_2020,2020,south,dry_grassland,2020,-0.16449398211664432,0.3662798590024154,-0.11173635142972259,0.11953103169259205
L2_04_2021,2021,south,dry_grassland,2021,-0.13505500582057242,0.5541772305466609,-0.02236579753931777,0.1905167811556726
