plot,block,idTreatment,plotSize,exposition,side,substrateType,sandRatio,substrateDepth,seedmixType,targetType,seedDensity,surveyYear,vegetationCov,botanist,bioMass,id,conf.low,conf.high,cwmAbuN,cwmAbuF,cwmAbuT,fdisAbuLHS,fdisAbuSla,cwmAbuSla,fdisAbuSeedmass,cwmAbuSeedmass,fdisAbuHeight,cwmAbuHeight,fdisAbuSrl,cwmAbuSrl,fdisAbuRmf,cwmAbuRmf,fdisAbuAll
L1_09,1,L_131,4,south,land,3,50,15,1,hay_meadow,4,2021,90,Markus Bauer,NA,L1_09_2021,36,36,6.337,4.094,6,1.271,0.412,21.182,0.861,2.106,0.771,0.367,1.031,94.565,0.648,0.239,1.369
L1_10,1,L_132,4,south,land,3,50,15,2,hay_meadow,8,2018,75,Jakob Huber,NA,L1_10_2018,37,37,3.742,4.174,5.984,1.466,0.336,23.602,0.811,1.225,1.144,0.302,0.303,379.108,0.161,0.435,0.39
L1_10,1,L_132,4,south,land,3,50,15,2,hay_meadow,8,2019,65,Linda Weggler,NA,L1_10_2019,38,38,4.241,3.901,5.984,1.518,0.322,23.004,1.083,1.438,0.883,0.289,1.287,165.552,0.841,0.355,1.628
L1_10,1,L_132,4,south,land,3,50,15,2,hay_meadow,8,2020,70,Jakob Huber,NA,L1_10_2020,39,39,6.167,4.167,6.015,0.274,0.08,25.269,0.141,9.4,0.207,0.211,0.132,33.122,0.044,0.313,0.169
L1_10,1,L_132,4,south,land,3,50,15,2,hay_meadow,8,2021,80,Markus Bauer,NA,L1_10_2021,40,40,4.554,4.008,5.956,1.095,0.348,20.894,0.836,2.783,0.517,0.295,1.077,107.308,0.498,0.321,1.256
L1_11,1,L_133,4,south,land,3,50,15,3,dry_grassland,4,2018,85,Jakob Huber,NA,L1_11_2018,41,41,3.337,4.097,5.984,0.867,0.184,25.3,0.553,3.467,0.507,0.226,1.438,158.464,0.41,0.388,0.788
L1_11,1,L_133,4,south,land,3,50,15,3,dry_grassland,4,2019,70,Linda Weggler,NA,L1_11_2019,42,42,4.19,3.847,5.955,1.155,0.274,22.837,0.798,2.382,0.623,0.286,1.261,111.126,0.652,0.335,1.366
L1_11,1,L_133,4,south,land,3,50,15,3,dry_grassland,4,2020,75,Jakob Huber,NA,L1_11_2020,43,43,6.821,4.243,6.01,0.942,0.159,25.329,0.412,8.342,0.76,0.283,0.429,37.977,0.228,0.296,0.814
L1_11,1,L_133,4,south,land,3,50,15,3,dry_grassland,4,2021,90,Markus Bauer,NA,L1_11_2021,44,44,5.831,4.439,5.992,1.299,0.196,23.64,0.809,5.811,0.83,0.415,1.032,63.18,0.611,0.348,1.308
L1_12,1,L_134,4,south,land,3,50,15,4,dry_grassland,8,2018,75,Jakob Huber,NA,L1_12_2018,45,45,4.055,4.592,6,1.388,0.18,24.828,0.813,5.424,0.999,0.355,1.12,205.678,0.42,0.401,0.988
L1_12,1,L_134,4,south,land,3,50,15,4,dry_grassland,8,2019,90,Linda Weggler,NA,L1_12_2019,46,46,5.848,4.667,5.938,1.784,0.364,24.321,1.325,3.788,0.987,0.535,1.113,239.272,0.775,0.311,2.181
L1_12,1,L_134,4,south,land,3,50,15,4,dry_grassland,8,2020,80,Jakob Huber,NA,L1_12_2020,47,47,6.35,4.053,6.007,0.531,0.108,25.15,0.28,8.506,0.416,0.236,0.304,35.733,0.155,0.301,0.412
L1_12,1,L_134,4,south,land,3,50,15,4,dry_grassland,8,2021,90,Markus Bauer,NA,L1_12_2021,48,48,5.659,4.414,5.99,1.179,0.244,25.264,0.689,5.865,0.824,0.321,0.889,50.489,0.34,0.312,1.067
L1_13,1,L_143,4,south,land,4,0,30,3,dry_grassland,4,2018,75,Jakob Huber,NA,L1_13_2018,49,49,4.115,4.485,6,1.379,0.178,24.153,0.853,5.401,0.898,0.37,1.278,152.307,0.419,0.405,1.008
L1_13,1,L_143,4,south,land,4,0,30,3,dry_grassland,4,2019,80,Linda Weggler,NA,L1_13_2019,50,50,4.379,4.098,5.963,1.28,0.276,22.504,0.951,2.272,0.661,0.305,1.121,98.145,0.761,0.394,1.513
L1_13,1,L_143,4,south,land,4,0,30,3,dry_grassland,4,2020,85,Jakob Huber,NA,L1_13_2020,51,51,7.25,4.017,6,0.117,0.024,25.732,0.074,9.811,0.081,0.204,0.025,31.712,0.021,0.311,0.089
L1_13,1,L_143,4,south,land,4,0,30,3,dry_grassland,4,2021,80,Markus Bauer,NA,L1_13_2021,52,52,4.608,4.105,5.981,1.066,0.3,23.583,0.627,4.957,0.721,0.284,0.96,51.511,0.26,0.304,0.948
L1_14,1,L_142,4,south,land,4,0,30,2,hay_meadow,8,2018,60,Jakob Huber,NA,L1_14_2018,53,53,3.104,3.964,5.939,0.99,0.323,23.485,0.571,2.216,0.542,0.234,1.106,183.236,0.486,0.378,1.066
L1_14,1,L_142,4,south,land,4,0,30,2,hay_meadow,8,2019,80,Linda Weggler,NA,L1_14_2019,54,54,3.771,3.973,5.957,1.367,0.317,22.941,0.954,1.927,0.727,0.315,1.477,109.605,0.546,0.333,1.532
L1_14,1,L_142,4,south,land,4,0,30,2,hay_meadow,8,2020,80,Jakob Huber,NA,L1_14_2020,55,55,6.692,4,6.047,0.542,0.139,24.768,0.384,7.347,0.347,0.229,0.363,36.755,0.192,0.299,0.482
L1_14,1,L_142,4,south,land,4,0,30,2,hay_meadow,8,2021,90,Markus Bauer,NA,L1_14_2021,56,56,5.575,3.979,5.991,0.935,0.135,24.74,0.567,5.414,0.664,0.267,0.8,49.911,0.32,0.333,0.907
L1_15,1,L_144,4,south,land,4,0,30,4,dry_grassland,8,2018,75,Jakob Huber,NA,L1_15_2018,57,57,3.246,4.348,6,0.452,0.079,25.98,0.254,2.267,0.293,0.192,0.627,327.63,0.159,0.435,0.417
L1_15,1,L_144,4,south,land,4,0,30,4,dry_grassland,8,2019,70,Linda Weggler,NA,L1_15_2019,58,58,4.63,4.1,6,1.583,0.273,22.905,1.224,1.048,0.777,0.256,1.45,190.619,0.756,0.318,1.743
L1_15,1,L_144,4,south,land,4,0,30,4,dry_grassland,8,2020,55,Jakob Huber,NA,L1_15_2020,59,59,7.167,4.033,6.007,0.348,0.094,25.213,0.24,8.578,0.223,0.215,0.252,34.884,0.124,0.304,0.351
L1_15,1,L_144,4,south,land,4,0,30,4,dry_grassland,8,2021,90,Markus Bauer,NA,L1_15_2021,60,60,4.265,3.991,6,0.65,0.118,24.981,0.466,6.394,0.369,0.228,0.852,48.658,0.227,0.332,0.67
L1_16,1,L_141,4,south,land,4,0,30,1,hay_meadow,4,2018,50,Jakob Huber,NA,L1_16_2018,61,61,3.383,4.08,5.993,0.601,0.062,26.039,0.401,3.263,0.315,0.2,1.353,198.995,0.333,0.404,0.673
L1_16,1,L_141,4,south,land,4,0,30,1,hay_meadow,4,2019,80,Linda Weggler,NA,L1_16_2019,62,62,3.871,3.964,5.991,1.407,0.256,23.165,1.202,1.584,0.466,0.228,1.531,117.345,0.545,0.315,1.57
L1_16,1,L_141,4,south,land,4,0,30,1,hay_meadow,4,2020,75,Jakob Huber,NA,L1_16_2020,63,63,6.306,4.092,6.018,0.689,0.169,24.58,0.429,7.406,0.482,0.242,0.469,38.762,0.241,0.295,0.617
L1_16,1,L_141,4,south,land,4,0,30,1,hay_meadow,4,2021,90,Markus Bauer,NA,L1_16_2021,64,64,4.113,4.04,6.049,0.892,0.188,24.262,0.484,7.874,0.621,0.274,0.71,44.982,0.14,0.316,0.61
L1_17,1,L_151,4,south,land,5,25,30,1,hay_meadow,4,2018,60,Jakob Huber,NA,L1_17_2018,65,65,3.761,4.085,5.992,1.45,0.268,23.286,0.981,2.162,0.775,0.326,1.15,168.41,0.538,0.371,1.317
L1_17,1,L_151,4,south,land,5,25,30,1,hay_meadow,4,2019,70,Linda Weggler,NA,L1_17_2019,66,66,3.776,3.699,5.962,1.428,0.273,21.11,1.159,0.894,0.588,0.329,1.085,133.803,0.574,0.324,1.601
L1_17,1,L_151,4,south,land,5,25,30,1,hay_meadow,4,2020,70,Jakob Huber,NA,L1_17_2020,67,67,4.951,4.335,6.006,0.775,0.345,23.105,0.388,6.975,0.551,0.256,0.304,35.733,0.157,0.301,0.419
L1_17,1,L_151,4,south,land,5,25,30,1,hay_meadow,4,2021,80,Markus Bauer,NA,L1_17_2021,68,68,3.945,4.005,5.994,0.542,0.315,15.947,0.186,3.055,0.371,0.477,1.139,59.731,0.149,0.306,0.898
L1_18,1,L_153,4,south,land,5,25,30,3,dry_grassland,4,2018,50,Jakob Huber,NA,L1_18_2018,69,69,3.959,4.019,5.987,0.918,0.546,18.14,0.324,3.302,0.592,0.43,0.999,52.063,0.244,0.314,1.084
L1_18,1,L_153,4,south,land,5,25,30,3,dry_grassland,4,2019,80,Linda Weggler,NA,L1_18_2019,70,70,4.035,4.017,5.994,1.024,0.562,19.59,0.396,3.411,0.671,0.416,0.834,47.886,0.273,0.308,1.174
L1_18,1,L_153,4,south,land,5,25,30,3,dry_grassland,4,2020,70,Jakob Huber,NA,L1_18_2020,71,71,6.333,4.039,6,0.388,0.089,25.254,0.226,8.823,0.288,0.221,0.241,34.725,0.119,0.306,0.327
L1_18,1,L_153,4,south,land,5,25,30,3,dry_grassland,4,2021,80,Markus Bauer,NA,L1_18_2021,72,72,5.289,4.065,6,1.182,0.364,22.348,0.872,3.221,0.645,0.29,1.146,69.7,0.484,0.272,1.224
L1_19,1,L_154,4,south,land,5,25,30,4,dry_grassland,8,2018,50,Jakob Huber,NA,L1_19_2018,73,73,3.28,4.068,5.995,0.675,0.072,25.737,0.592,4.242,0.193,0.198,1.66,106.551,0.403,0.366,0.724
L1_19,1,L_154,4,south,land,5,25,30,4,dry_grassland,8,2019,80,Linda Weggler,NA,L1_19_2019,74,74,4.169,4,6,1.365,0.361,22.318,0.967,2.823,0.675,0.268,1.279,65.281,0.317,0.307,1.236
L1_19,1,L_154,4,south,land,5,25,30,4,dry_grassland,8,2020,75,Jakob Huber,NA,L1_19_2020,75,75,6.731,4.087,6,0.753,0.239,24.129,0.522,6.356,0.47,0.244,0.607,41.79,0.323,0.287,0.792
L1_19,1,L_154,4,south,land,5,25,30,4,dry_grassland,8,2021,90,Markus Bauer,NA,L1_19_2021,76,76,4.138,3.943,5.991,1.033,0.337,22.388,0.808,3.198,0.458,0.265,1.249,78.095,0.348,0.311,1.132
L1_20,1,L_152,4,south,land,5,25,30,2,hay_meadow,8,2018,50,Jakob Huber,NA,L1_20_2018,77,77,3.348,4.029,5.978,0.777,0.109,25.55,0.653,3.872,0.247,0.204,1.611,98.862,0.427,0.352,0.895
L1_20,1,L_152,4,south,land,5,25,30,2,hay_meadow,8,2019,80,Linda Weggler,NA,L1_20_2019,78,78,3.823,3.951,6,1.355,0.293,23.594,1.125,1.929,0.499,0.237,1.41,81.194,0.466,0.317,1.484
L1_20,1,L_152,4,south,land,5,25,30,2,hay_meadow,8,2020,75,Jakob Huber,NA,L1_20_2020,79,79,7,4.007,6.091,0.313,0.098,17.76,0.231,0.683,0.186,0.514,0.262,146.088,0.152,0.186,0.344
L1_20,1,L_152,4,south,land,5,25,30,2,hay_meadow,8,2021,80,Markus Bauer,NA,L1_20_2021,80,80,5.596,4.068,6,1.148,0.351,20.228,0.809,1.586,0.702,0.35,1.005,107.147,0.621,0.245,1.311
